"","sentence_text_new"
"2","INVITATION TO JOIN THE GOVERNMENT OF BRITAIN. A country is at its best when the bonds between people are strong and when the sense of national purpose is clear."
"3","Today the challenges facing Britain are immense."
"4","Our economy is overwhelmed by debt, our social fabric is frayed and our political system has betrayed the people."
"5","But these problems can be overcome if we pull together and work together."
"6","If we remember that we are all in this together."
"7","Some politicians say: 'give us your vote and we will sort out all your problems'."
"8","We say: real change comes not from government alone."
"9","Real change comes when the people are inspired and mobilised, when millions of us are fired up to play a part in the nation's future."
"10","Yes this is ambitious."
"11","Yes it is optimistic."
"12","But in the end all the Acts of Parliament, all the new measures, all the new policy initiatives, are just politicians' words without you and your involvement."
"13","How will we deal with the debt crisis unless we understand that we are all in this together?"
"14","How will we raise responsible children unless every adult plays their part?"
"15","How will we revitalise communities unless people stop asking 'who will fix this?' and start asking 'what can I do?' Britain will change for the better when we all elect to take part, to take responsibility - if we all come together."
"16","Collective strength will overpower our problems."
"17","Only together can we can get rid of this government and, eventually, its debt."
"18","Only together can we get the economy moving."
"19","Only together can we protect the NHS."
"20","Improve our schools."
"21","Mend our broken society."
"22","Together we can even make politics and politicians work better."
"23","And if we can do that, we can do anything."
"24","Yes, together we can do anything."
"25","So my invitation today is this: join us, to form a new kind of government for Britain."
"27","Foreword. Britain needs change: few can doubt that."
"28","Our national finances are mired in massive debt."
"29","Millions are living the misery of unemployment."
"30","Communities are shattered by crime and abuse."
"31","People in the public services are trapped in a web of rules and regulations."
"32","People have lost faith that politics can fix our problems, or that politicians can lead us into a better future."
"33","There is a feeling of helplessness."
"34","Once again, there is a mood afoot that the decline of Britain is inevitable."
"35","But there is no law that says we must accept decline."
"36","We have the energy, the ideas and the ambition to get Britain back on track."
"37","And that includes everyone in Britain, wherever they live and whatever their circumstances."
"38","If we join together, if we act decisively, and move forward with optimism, we can start to fix the economic, social and political problems that threaten the nation."
"39","We can bring about the change Britain needs."
"40","What is that change?"
"41","Some promise solutions from on high - but real change comes from collective endeavour."
"42","So we offer a new approach: a change not just from one set of politicians to another"
"43","from one set of policies to another."
"44","It is a change from one political philosophy to another."
"45","From the idea that the role of the state is to direct society and micro-manage public services, to the idea that the role of the state is to strengthen society and make public services serve the people who use them."
"46","In a simple phrase, the change we offer is from big government to Big Society."
"47","This manifesto is the most important stage so far on a journey that began four and a half years ago, when the Conservative Party itself voted for change by electing David Cameron as its leader."
"48","Since then, the Party has remoulded itself for the modern era, applying its deepest values and beliefs to the urgent problems of the hour."
"49","Even as it has done so, the problems confronting Britain have escalated, and escalated fast."
"50","So our ideas are ambitious and radical as well as modern."
"51","They match the scale of Britain's problems, and are in tune with a world that is changing before our eyes."
"52","But our core values have not altered and our core beliefs remain consistent."
"53","We believe in responsibility: government responsibility with public finances, personal responsibility for our actions, and social responsibility towards each other."
"54","We believe in enterprise and aspiration."
"55","We believe there is such a thing as society, it's just not the same thing as the state."
"56","Our fundamental tenet is that power should be devolved from politicians to people, from the central to the local."
"57","Personal ambition should be set as high as is humanly possible, with no barriers put in its way by the state."
"58","Perhaps most importantly, we believe that we are all in this together."
"59","Everything you will find in this manifesto is built on these beliefs."
"60","They are the building blocks of the change we want to see in every home, every street, every community, every business."
"61","Our belief in responsibility with public finances is the starting point of our plan for economic recovery and growth."
"62","We want your consent for a programme of public spending control that will deal with Labour's debt crisis and stop the Labour jobs tax that would kill our economic recovery."
"63","The programme set out in this manifesto is fully costed and fully funded."
"64","Some of our proposals - such as on school discipline - cost nothing, but require energy and leadership."
"65","Others - like stopping Labour's jobs tax - will require money, and we will make savings in other areas to pay for them."
"66","The debt crisis is the terrible legacy that Gordon Brown is bequeathing to our country."
"67","But fiscal responsibility needs a social conscience or it is not responsible at all: so we will not allow the poorest people in Britain to pay an unfair price for the mistakes of some of the richest."
