"","sentence_text_new"
"5","Liberal Democrat 2001 General Election Manifesto. Freedom. Justice. Honesty. Three simple words: Freedom, justice, honesty."
"6","These sum up what the Liberal Democrats stand for."
"7","Freedom - because everybody should have the opportunity to make the most of their life."
"8","Justice - because freedom depends on fairness."
"9","Honesty - because where fairness has a cost, like investing in schools, hospitals and pensions, we explain how it will be paid for."
"10","This manifesto sets out our priorities: investing in schools and hospitals to cut class sizes and waiting times "
"11","extra police to prevent crime and catch criminals "
"12","increasing the basic state pension and providing free personal care."
"13","In Scotland, where Liberal Democrats are part of the government, we have already guaranteed free personal care."
"14","We have also abolished tuition fees, and we want to do this for the rest of the United Kingdom."
"15","We will also recognise the professionalism of teachers, doctors, nurses and the police, valuing their contribution to the community."
"16","We believe that they must be given the freedom to exercise their professional judgement."
"17","All our policies have a green dimension."
"18","So there is an environmental section in every chapter, a green thread binding together all our thinking."
"19","Without steps to preserve our planet for future generations, none of our other policies would have much purpose."
"21","A Real Chance for Real Change. The United Kingdom has huge potential."
"22","Unlock the energies, skills and talents of its people, and its rich ethnic and cultural diversity, and there is nothing that cannot be achieved."
"23","But we do not want government always telling people how to develop those assets."
"24","So in this manifesto every section explains how we want government to stop interfering."
"25","Government works best as an enabler."
"26","Its task is not to curb but to stimulate."
"27","To enjoy true freedom, people must have good education, decent healthcare, reliable public transport, safety on the streets and a secure income in old age."
"28","The state must provide these basic public services to allow all its citizens to achieve their full potential."
"29","Under eighteen years of Conservative government, these freedoms steadily diminished."
"30","The sick waited longer for operations."
"31","Children were taught in larger and larger classes."
"32","Rail passengers suffered the consequences of a disastrous privatisation."
"33","Crime rose."
"34","Pensioners' incomes fell behind."
"35","But Labour has been disappointing, sticking quite unnecessarily for two years to Tory spending limits."
"36","Our programme for government will deliver more."
"37","For schools, hospitals, pensioners, the police and the environment, we offer Britain a real chance for real change."
"39","Applicability and Costings. This document contains Federal Liberal Democrat policy, except in areas where policy of the Scottish and Welsh Liberal Democrats applies."
"40","Separate manifestos set out our agenda for Scotland and Wales."
"41","Guarantees represent our minimum commitment over a five-year Parliament."
"42","This manifesto also sets out policies to be implemented as economic growth allows."
"43","Our ambitions are not limited to these, and are set out in other policy documents."
"44","A full costing of our programme has been published with this manifesto."
"45","Figures included in both are changes to existing Government revenue and spending plans due to our manifesto commitments."
"46","Except for specified items, all Departments will work within current spending plans, unless economic growth allows more."
"47","Figures presented are calculated on a UK-wide basis to make comparisons with UK-wide figures from central government and other parties."
"48","Different priorities in Scotland, Wales and Northern Ireland may result in different priorities in practice in the budgetary areas they control."
"51","Health. More staff, faster NHS treatment. Health is a fundamental freedom."
"52","No one can fulfil their potential without the best possible health."
"53","We will prioritise investment to cut waiting times."
"54","But we also believe that it is best to improve health by preventing illness, tackling pollution and reducing poverty."
"55","Liberal Democrats will:  Cut waiting times by recruiting 27,500 more nurses, 4,600 more doctors, and 10,250 more professionals allied to medicine."
"56","Cut waiting times by retaining more staff through increasing pay for the worst paid NHS staff by an average of £1000 each per year."
