"","sentence_text_new"
"3","New Labour: because Britain deserves better. Britain will be better with new Labour. 'Our case is simple: that Britain can and must be better'."
"4","'The vision is one of national renewal, a country with drive, purpose and energy'."
"5","'In each area of policy a new and distinctive approach has been mapped out, one that differs from the old left and the Conservative right."
"6","This is why new Labour is new'."
"7","'New Labour is a party of ideas and ideals but not of outdated ideology."
"8","What counts is what works."
"9","The objectives are radical."
"10","The means will be modern'."
"11","'This is our contract with the people'."
"12","I believe in Britain."
"13","It is a great country with a great history."
"14","The British people are a great people."
"15","But I believe Britain can and must be better: better schools, better hospitals, better ways of tackling crime, of building a modern welfare state, of equipping ourselves for a new world economy."
"16","I want a Britain that is one nation, with shared values and purpose, where merit comes before privilege, run for the many not the few, strong and sure of itself at home and abroad."
"17","I want a Britain that does not shuffle into the new millennium afraid of the future, but strides into it with confidence."
"18","I want to renew our country's faith in the ability of its government and politics to deliver this new Britain."
"19","I want to do it by making a limited set of important promises and achieving them."
"20","This is the purpose of the bond of trust I set out at the end of this introduction, in which ten specific commitments are put before you."
"21","Hold us to them."
"22","They are our covenant with you."
"23","I want to renew faith in politics by being honest about the last 18 years."
"24","Some things the Conservatives got right."
"25","We will not change them."
"26","It is where they got things wrong that we will make change."
"27","We have no intention or desire to replace one set of dogmas by another."
"28","I want to renew faith in politics through a government that will govern in the interest of the many, the broad majority of people who work hard, play by the rules, pay their dues and feel let down by a political system that gives the breaks to the few, to an elite at the top increasingly out of touch with the rest of us."
"29","And I want, above all, to govern in a way that brings our country together, that unites our nation in facing the tough and dangerous challenges of the new economy and changed society in which we must live."
"30","I want a Britain which we all feel part of, in whose future we all have a stake, in which what I want for my own children I want for yours."
"32","A new politics. The reason for having created new Labour is to meet the challenges of a different world."
"33","The millennium symbolises a new era opening up for Britain."
"34","I am confident about our future prosperity, even optimistic, if we have the courage to change and use it to build a better Britain."
"35","To accomplish this means more than just a change of government."
"36","Our aim is no less than to set British political life on a new course for the future."
"37","PeopleÊareÊcynical about politics and distrustful of political promises."
"38","That is hardly surprising."
"39","There have been few more gross breaches of faith than when the Conservatives under Mr Major promised, before the election of 1992, that they would not raise taxes, but would cut them every year and then went on to raise them by the largest amount in peacetime history starting in the first Budget after the election."
"40","The Exchange Rate Mechanism as the cornerstone of economic policy, Europe, health, crime, schools, sleaze - the broken promises are strewn across the country's memory."
"41","The Conservatives' broken promises taint all politics."
"42","That is why we have made it our guiding rule not to promise what we cannot deliver and to deliver what we promise."
"43","What follows is not the politics of a 100 days that dazzles for a time, then fizzles out."
"44","It is not the politics of a revolution, but of a fresh start, the patient rebuilding and renewing of this country - renewal that can take root and build over time."
"45","That is one way in which politics in Britain will gain a new lease of life."
"46","But there is another."
"47","We aim to put behind us the bitter political struggles of left and right that have torn our country apart for too many decades."
"48","Many of these conflicts have no relevance whatsoever to the modern world - public versus private, bosses versus workers, middle class versus working class."
"49","It is time for this country to move on and move forward."
"50","We are proud of our history, proud of what we have achieved - but we must learn from our history, not be chained to it."
"52","New Labour. The purpose of new Labour is to give Britain a different political choice: the choice between a failed Conservative government, exhausted and divided in everything other than its desire to cling on to power, and a new and revitalised Labour Party that has been resolute in transforming itself into a party of the future."
"53","We have rewritten our constitution, the new Clause IV, to put a commitment to enterprise alongside the commitment to justice."
"54","We have changed the way we make policy, and put our relations with the trade unions on a modern footing where they accept they can get fairness but no favours from a Labour government."
"55","Our MPs are all now selected by ordinary party members, not small committees or pressure groups."
"56","The membership itself has doubled, to over 400,000, with half the members having joined since the last election."
"57","We submitted our draft manifesto, new Labour new life for Britain, to a ballot of all our members, 95 per cent of whom gave it their express endorsement."
"58","We are a national party, supported today by people from all walks of life, from the successful businessman or woman to the pensioner on a council estate."
"59","Young people have flooded in to join us in what is the fastest growing youth section of any political party in the western world."
"61","The vision. We are a broad-based movement for progress and justice."
"62","New Labour is the political arm of none other than the British people as a whole."
"63","Our values are the same: the equal worth of all, with no one cast aside fairness and justice within strong communities."
"64","But we have liberated these values from outdated dogma or doctrine, and we have applied these values to the modern world."
"65","I want a country in which people get on, do well, make a success of their lives."
"66","I have no time for the politics of envy."
"67","We need more successful entrepreneurs, not fewer of them."
"68","But these life-chances should be for all the people."
"69","And I want a society in which ambition and compassion are seen as partners not opposites - where we value public service as well as material wealth."
"70","New Labour believes in a society where we do not simply pursue our own individual aims but where we hold many aims in common and work together to achieve them."
"71","How we build the industry and employment opportunities of the future;"
"72","how we tackle the division and inequality in our society;"
"73","how we care for and enhance our environment and quality of life;"
"74","how we develop modern education and health services;"
"75","how we create communities that are safe, where mutual respect and tolerance are the order of the day."
"76","These are things we must achieve together as a country."
"77","The vision is one of national renewal, a country with drive, purpose and energy."
"78","A Britain equipped to prosper in a global economy of technological change;"
"79","with a modern welfare state;"
"80","its politics more accountable;"
"81","and confident of its place in the world."
"83","Programme: a new centre and centre-left politics. In each area of policy a new and distinctive approach has been mapped out, one that differs both from the solutions of the old left and those of the Conservative right."
"84","This is why new Labour is new."
"85","We believe in the strength of our values, but we recognise also that the policies of 1997 cannot be those of 1947 or 1967."
"86","More detailed policy has been produced by us than by any opposition in history."
"87","Our direction and destination are clear."
"88","The old left would have sought state control of industry."
"89","The Conservative right is content to leave all to the market."
"90","We reject both approaches."
"91","Government and industry must work together to achieve key objectives aimed at enhancing the dynamism of the market, not undermining it."
"92","InÊindustrial relations, we make it clear that there will be no return to flying pickets, secondary action, strikes with no ballots or the trade union law of the 1970s."
"93","There will instead be basic minimum rights for the individual at the workplace, where our aim is partnership not conflict between employers and employees."
"94","InÊeconomic management, we accept the global economy as a reality and reject the isolationism and 'go-it-alone' policies of the extremes of right or left."
