"","sentence_text_new"
"3","Make the Difference. The Liberal Democrat Manifesto 1997. 'The Liberal Democrats exist to build and safeguard a fair, free and open society in which we seek to balance the fundamental values of liberty, equality and community, and in which no-one shall be enslaved by poverty, ignorance or conformity.' "
"6","Liberal Democrat Constitution. INTRODUCTION.  This will be the last election of this century."
"7","And one of its most important."
"8","We have ducked the challenges that confront our country for too long."
"9","It is time to face them."
"10","The choice you make will shape Britain's future for the next 50 years."
"11","There are no quick fixes, no instant solutions."
"12","Eighteen years of Conservative government have left our society divided, our public services run down, our sense of community fractured and our economy under-performing."
"13","There is much to be done to prepare Britain for the next century and no time to waste in getting started."
"14","Yet a terrible fatalism seems to grip politicians."
"15","Though the challenges are immense, the solutions we are offered are all too often puny."
"16","We are told we can't ask people to pay more for a better education."
"17","Or change the way we live to protect our environment."
"18","Or share more to give better opportunities to those who have less."
"19","Or modernise our politics to give people more say."
"20","The Liberal Democrats reject this timidity."
"21","We are in politics not just to manage things better, but to make things happen."
"22","To build a more prosperous, fair and open society."
"23","We believe in the market economy as the best way to deliver prosperity and distribute economic benefits."
"24","But we recognise that market mechanisms on their own are not enough"
"25","that the private sector alone cannot ensure that there are good services for everyone, or promote employment opportunities, or tackle economic inequality, or protect the environment for future generations."
"26","We believe in a society in which every citizen shares rights and responsibilities."
"27","But, we recognise that a strong country is built from the bottom, not the top"
"28","that conformity quickly becomes the enemy of diversity."
"29","And that the imposition of social blueprints leads to authoritarian centralised government."
"30","Liberal Democrats believe that power and opportunity, like wealth, should be widely spread."
"31","Above all, Liberal Democracy is about liberty."
"32","That does not just mean freedom from oppressive government."
"33","It means providing all citizens with the opportunity to build worthwhile lives for themselves and their families and helping them to recognise their responsibilities to the wider community."
"34","Liberal Democrats believe the role of democratic government is to protect and strengthen liberty, to redress the balance between the powerful and the weak, between rich and poor and between immediate gains and long-term environmental costs."
"35","That is the Liberal Democrat vision: of active government which invests in people, promotes their long-term prosperity and welfare, safeguards their security, and is answerable to them for its actions."
"36","Much of what we propose here requires no money only political will."
"37","But where extra investment is required we say where it will come from."
"38","This is a menu with prices."
"39","The purpose of this manifesto is to widen opportunities for all."
"40","And its aim is to build a nation of self-reliant individuals, living in strong communities, backed by an enabling government."
"42","Which party will make a real difference to my child's education? Our aim: To make Britain the world's foremost learning society by 2010."
"43","The problem: This country's education has been underfunded and undermined by repeated shifts in policy."
"44","Standards are too low, especially in core skills such as reading and maths."
"45","Britain is too low in the world league tables."
"46","Our commitment: Liberal Democrats will make education the next government's top priority."
"47","We will invest an additional £2 billion per year in education, funded by an extra 1p in the pound on the basic rate of income tax."
"48","Our first priority is to: Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it."
"49","Key priorities are to: Increase funding for books and equipment in schools."
"50","In the first year, we will double spending on books and equipment to overcome the effect of recent cuts."
"51","Reduce primary school class sizes so that within 5 years no child between 5 and 11 I will need to be in a class of more than 30."
"52","Tackle the backlog of repair and maintenance to buildings with £500m additional investment over 5 years."
"53","Boost chances for all adults to improve their skills and get better qualifications."
"55","Making the best start. Early years education is the essential building block for higher standards and achievement later on."
"56","Every £1 spent on high quality under-fives education raises standards in later life and adds up to £7 of value to the nations economy."
"57","We will: Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it."
"58","This will be the first call on our £2 billion annual programme of extra investment in education."
"59","Promote high standards in early years education."
"60","We will set minimum standards for care, curriculum and premises."
"61","We will ensure that those in early years education are supervised by qualified staff."
"62","Provide choice in early years education."
"63","We will scrap the bureaucratic voucher scheme."
"64","We will ensure a variety of provision from a wide range of public, private and voluntary providers."
"65","Raising standards in schools."
"66","We will raise standards in schools, especially in literacy and numeracy, which are still far too low."
"67","We will: Improve teaching standards."
"68","We will set up a General Teaching Council, charged with improving teaching standards and making teaching a profession to be proud of again."
"69","We will provide more opportunities for professional development and reward excellence in teaching."
"70","We will help poor teachers improve, but if they cannot, we will ensure they do not continue to teach."
"71","Encourage schools to succeed."
"72","We will strengthen the inspection system so that it helps schools and we will extend inspection to monitoring Local Education Authorities (LEAs)."
"73","Strengthen discipline in schools."
"74","We will support teachers in maintaining discipline and provide them with the means to do so - for example, by providing better access to special referral units."
"75","We will require every school to develop a policy to tackle bullying and truancy."
"76","We will launch a national Truancy Watch scheme."
"77","We will oblige LEAs to fulfil their responsibilities to educate pupils excluded or suspended from school."
"78","Measure achievement in pupils and schools."
"79","We will give every pupil a Personal Record of Achievement which will enable them to build up a set of nationally accredited qualifications and record their other achievements."
"80","We will require schools to publish meaningful information on their standards, achievements and plans for the future."
"81","Improve the National Curriculum."
"82","We will replace the National Curriculum with a more focused and flexible Minimum Curriculum Entitlement."
"83","We will ensure that religious education provides pupils with an understanding of the major traditions of belief in this country."
"84","Boost literacy."
"85","We will establish special literacy programmes involving parents with teachers in a drive to ensure that 90 per cent of all pupils reach their expected reading age by 2005."
"87","Investing in schools. Extra investment for well-equipped classrooms and better-maintained buildings is essential if standards are to improve."
"88","We will: Increase funding for books and equipment in schools."
"89","In the first year, we will double spending on books and equipment to overcome the effect of recent cuts."
"90","A typical primary school of 250 pupils will get an extra £16,000."
"91","A typical secondary school of 1,000 pupils will get an extra £110,000."
"92","Reduce primary school class sizes so that within 5 years no child between 5 and 11 will need to be in a class of more than 30."
