"","sentence_text_new"
"4","1992 Conservative Party General Election Manifesto. The Best Future for Britain. Foreword. At the end of this Parliament a new Millennium will be in view."
"5","We must raise our sights high."
"6","This Manifesto is about making our country respected and secure, and helping you achieve a better, safer and more prosperous future."
"7","For I believe - strongly - that you, and not the Government, should be in charge of your life."
"8","That's what Conservatism stands for."
"9","That principle underlies all the policies in this Manifesto."
"10","I believe in a responsible society Government's duties are clear: to protect Britain in a dangerous world"
"11","to look after those who cannot look after themselves"
"12","to protect law-abiding people from crime and disorder"
"13","and to protect the value of our currency - without which all spending pledges are worthless and all savings at risk."
"14","But I believe also in a society in which government doesn't try to take responsibility away from people."
"15","Politicians must never make the mistake of thinking the state always knows best, or that it is entitled to the lion's share of people's money. "
"16","I believe in low taxes not just because they ignite enterprise - the spark of economic growth - but because they put power and choice where it belongs: in your hands."
"17","So when you compare what the politicians are saying in this election, ask yourself these questions."
"18","Whom do you trust to take responsibility for Britain's defence"
"19","to keep us safe and strengthen our influence for good?"
"20","And who, at the same time, wants to give you the opportunity to do your best for yourself and your family?"
"21","Who will give you the power to choose - to say for yourself what you want?"
"22","And who will give you the personal prosperity that comes from low taxes - from your own savings, your own pension, your own home?"
"23","Who will let you build up your own stake in Britain's success - and pass it on to your children?"
"24","Only Conservatives can truly claim to be the party of opportunity, choice, ownership and responsibility."
"25","Socialists like to keep people under the government's thumb."
"26","Conservatives want to give them independence."
"27","But we also want to put government at your service, giving you what you've paid for - good public services, responsible to you."
"28","I do not believe the answer to every problem is simply for government to dig deeper in your pocket."
"29","I believe it often lies in changing the way government works"
"30","in making it respond to you."
"31","Government should look outwards."
"32","It should listen."
"33","It should put you in the know not keep you in the dark."
"34","We have made quite a start, under the seal of the Citizen's Charter People in schools, hospitals, public offices of all kinds are rising to the challenge."
"35","I knew they would."
"36","They just needed encouragement, incentive and a system that is outward-looking too."
"37","It is all part of a revolution in quality in Britain."
"38","British goods are once more winning in the toughest markets abroad."
"39","There is new vigour in the businesses liberated from state ownership"
"40","better management and better industrial relations."
"41","These are the firm foundations of economic recovery."
"42","We are raising the quality of our education and training."
"43","We are raising the standard of our housing, as more people own and improve their own homes."
"44","We are concerned for the quality of our environment."
"45","And in government, we are leading a drive for quality throughout our public services."
"46","That, I believe, is the way we all want to live - a decent life in a civilised community."
"47","That is the way we can live: celebrating our achievements, not nurturing old grudges"
"48","enjoying our successes, not talking Britain down."
"49","We can be free of old prejudices and class bafflers."
"50","We can encourage diversity, not division"
"51","achievement, not antagonism."
"52","We can all make our own contribution to the success of the United Kingdom"
"53","and we must keep that kingdom united."
"54","You know I believe in choice."
"55","And in this election, as always, there is another choice."
"56","You can vote for our opponents, and watch them take Britain back to the 1970s."
"57","Back to socialism."
"58","Back to strikes."
"59","Back to strife."
"60","Back to the world's pity, or worse still, contempt."
"61","I don't believe Britain wants that."
"62","I know the world doesn't want that for Britain."
"63","I hope you will choose a different path - to go forward, not back"
"64","to go for the best, knowing that Britain can be the best and do it best."
"65","My belief is clean only the best is good enough for Britain."
"67","Taking Responsibility for Britain. The world has been transformed in recent years."
"68","Communism has collapsed in Eastern Europe, and the Soviet Union has fallen apart."
"69","Everywhere Socialism is in retreat and democracy, human rights and market economics are advancing."
"70","The authority of the UN has been bolstered and Iraqi aggression seen off."
"71","Talks are under way in the Middle East and South Africa."
"72","It is a time of great opportunity, but also of new dangers."
"73","Britain needs firm leadership at this time."
"74","We must be represented by a team of quality and experience."
"75","A team which can help shape the world for the next century."
"76","A Conservative team."
"77","Under the Conservatives, Britain has regained her rightful influence in the world."
"78","We have stood up for the values our country has always represented."
"79","We have defended Britain's interests with vigour and with success."
"80","The respect with which Britain is regarded in the world has rarely been higher."
"81","We play a central part in world affairs as a member of the European Community, NATO, the Commonwealth and the Group of 7 leading industrial countries, and as a Permanent Member of the UN Security Council."
"82","No other country holds all these positions."
"83","We are taking a leading role in recasting all the main international institutions to which we belong: the United Nations, the European Community, NATO, and the Commonwealth."
"84","The Prime Minister convened the first ever meeting of the UN Security Council at Heads of Government level."
"85","Between now and the end of 1992 there will be seven Summits where issues of critical importance to our future will be determined: two EC Councils, at Lisbon and Edinburgh, the G7 Summit, the CSCE Summit, EC Summits with the US and Japan, and the Earth Summit at Rio de Janeiro."
"86","Britain will be at the centre of these negotiations."
"88","The Need for Leadership. The end of the Cold War has enabled the UN to act with new unity and authority."
"89","Under the authority of the UN, British forces played a leading and courageous part in the Gulf War and the liberation of Kuwait."
"90","At the Prime Minister's instigation, the UN also backed the operation to protect the Kurds."
"91","Britain has led the world in helping the reforms in the former Soviet Union."
"92","The Prime Minister gave full and immediate support to President Yeltsin in the August coup attempt, and was the first Western leader to visit Moscow after the coup failed."
"93","Britain has led the way in building up relations with the republics of the new Commonwealth of Independent States."
"94","We have provided valuable economic and humanitarian aid to ease the transition to a market economy."
"95","We will support an enhanced role for the UN in peace-keeping and combating state-sponsored terrorism."
"96","We are determined that Iraq should comply with the terms of the Guff War cease-fire agreement, and in particular that it should co-operate with the UN in dismantling its weapons of mass destruction."
"97","We support early Russian membership of the IMF and World Bank, as well as a stabilisation fund for the rouble."
"98","We are co-operating with our partners to provide urgent help to the former Soviet Union and Eastern Europe to upgrade the safety of their nuclear power stations."
"99","We strongly support the peace process in the Middle East."
"100","The outcome of the talks must safeguard the security of Israel and achieve self-determination for the people of the occupied territories."
"101","We will safeguard the prosperity of Hong Kong, nurture democratic institutions and work with the Chinese Government within the terms of the Joint Declaration."
"102","We seek a solution to the dispute which has divided Cyprus since 1974."
"103","A settlement must recognise that Cyprus is indivisible and that the rights of both communities must be assured."
"104","We will support the UN's efforts to secure a fair and lasting solution."
"105","The problems of Kashmir cannot be resolved by violence."
"106","We urge both India and Pakistan to address and resolve the issue, and we stand ready to help."
"108","Our Influence for Good. All over the world countries are turning to democracy and free markets."
"109","Last October in Harare, the Commonwealth took on a new role as a promoter of democracy the rule of law, and respect for individual freedoms."
"110","Already the Commonwealth is monitoring elections to ensure that they are free and fair."
"111","Britain is taking the lead in encouraging these trends."
"112","We give substantial aid to the relief of poverty and to help the struggling economies of the developing world."
"113","Our aid programme next year (excluding aid to Eastern Europe and the CIS) will reach £1,800 million."
"114","Britain also makes more direct private investment in the developing world than any other EC country - some £2,400 million in 1989."
"115","We are urging the international community to take decisive action on debt relief, the liberalisation of world trade and support for good government."
"116","We continue to accept the long term UN target for aid of 0.7 per cent of GNP, although we cannot set a timetable for its achievement."
"117","The quality of Britain's overseas aid programme is second to none."
"118","It is well targeted and highly effective."
"119","Eighty per cent of our bilateral aid goes to the poorest countries."
"120","New aid to the poorest is given as grants, not loans."
"121","We are supporting projects designed to build efficient institutions and accountable government."
"122","We are helping to improve public administration and the legal system in a number of countries."
"123","The English language is one of our nation's greatest assets - culturally politically and commercially."
"124","The BBC World Service has unrivalled standing around the globe."
"125","The British Council acts as a cultural ambassador for Britain and for the English language."
"126","We will use overseas aid to promote good government, sensible economic policies, the rooting out of corruption, and - crucially - respect for human rights and the rule of law."
"127","We will press creditor countries to accept the Prime Minister's proposal - the 'Trinidad Terms' - for a two-thirds reduction in the official debt of the poorest countries."
"128","We will promote the development of multi- party systems through the new Westminster Foundation for Democracy."
"129","We will promote the English language by strengthening both the British Council and the BBC World Service."
"130","We will encourage both to become more entrepreneurial in order to finance their activities in developing markets."
"132","The Risks We Face Now. The collapse of the old Soviet Union has dramatically vindicated Conservative defence policy."
"133","We have always put the security of our country first."
"134","We have kept the peace by staying strong."
"135","Today the threat of a massive surprise attack from Eastern Europe has gone."
"136","But we still face grave risks to our security."
"137","We cannot drop our guard."
"138","Under the Conservatives, Britain will never do so."
"139","Within the former Soviet Union there remains a huge military force."
"140","Democracy and the rule of law are yet to be firmly established."
"141","Control over these armed forces and the massive nuclear capability is uncertain."
"142","The events in Yugoslavia show what can happen when Communism collapses in disorder."
"143","Increasingly threats come from outside Europe - as we saw so clearly in the Gulf."
"144","Many more countries are acquiring large stocks of modern arms."
"145","Some are trying to obtain nuclear, biological and chemical weapons."
"146","Britain must be able to respond to any unexpected danger."
"147","The Conservatives are the only party who recognise both the opportunities and the threats of the new world."
"148","For over forty years, our security has been based firmly on NATO, the most successful defensive alliance ever."
"149","We will work with our allies to ensure that NATO remains the cornerstone of our defence."
"150","Britain will command a new NATO Rapid Reaction Corps ready to deploy quickly to counter any sudden threat."
"151","As Europeans we must accept a greater role in safeguarding the peace in our continent."
"152","We will promote arms control and reduction initiatives."
"153","On Britain's initiative, the UN is establishing a register of arms transfers in order to monitor any dangerous arsenals of weapons."
"154","Britain has always been strongly opposed to nuclear proliferation."
"155","We will back an enhanced role for the International Atomic Energy Agency in inspecting nuclear sites and for the UN Security Council in acting against those nations which break their non proliferation obligations."
"156","We will work to strengthen the Western European Union as the European pillar of NATO."
"157","We will press for a European reaction force."
"158","We will intensify the co-ordination of security policies within the Twelve."
"159","We will work through the CSCE to safeguard the security of Europe."
"160","We will support a comprehensive and verifiable ban on chemical weapons, and further controls on the export of items which could be used in making biological weapons."
"161","We will help Russia in her efforts to dismantle nuclear weapons."
"163","Our Armed Forces. Only the Conservatives can be trusted to maintain the quality and capability of our Armed Forces."
"164","We are proud of the skill, courage and professionalism which they displayed in the Gulf and which they show daily in Northern Ireland."
"165","We are the only party unambiguously committed to the preservation and modernisation of our independent nuclear deterrent."
"166","Our defence would be unsafe in the hands of the opposition parties."
"167","Labour have opposed our defence policies at every turn."
"168","They have twisted and turned in their attitude to our nuclear deterrent."
"169","They would devastate our conventional forces by cuts of at least 27 per cent, which would lead to huge job losses in the defence industries."
"170","The Liberal Democrats would cause even more damage to Britain's defences."
"171","Their aim is to cut our defence spending by half by the end of the decade."
"172","We insist that our forces have the modern, effective equipment that they need."
"173","The Gulf War showed that the Services must have the latest technology to give them maximum flexibility and mobility."
"174","That is why we have ordered the new Challenger II tank for the Army, the Merlin helicopter for the Navy, the ASRAAM air defence missile for the RAF and a wide range of other new equipment for our Forces."
"175","Our reappraisal of Britain's defence needs will result an a major restructuring of our Armed Forces to take account of the changing world situation."
"176","In future our Forces will be smaller, but better equipped."
"177","Our Services deserve the excellent pay and conditions which we have secured for them and will maintain."
"178","We will complete the deployment of the next generation of Britain's minimum nuclear deterrent."
"179","We will order and complete the fourth Trident submarine."
"180","We will ensure the Forces have the best and most modern equipment."
"181","We will improve the quality and management of service housing and help those in the Forces save towards buying a home of their own."
"182","The Reserves will play an even more important role and we will introduce legislation to allow their more flexible use."
"184","The European Community. The Conservatives have been the party of Britain in Europe for 30 years."
"185","We have argued when argument was necessary"
"186","but we have not wavered nor changed our views."
"187","We have ensured that Britain is at the heart of Europe"
"188","a strong and respected partner."
"189","We have played a decisive part in the development of the Community over the past decade."
"190","It was a British initiative which launched the Single Market programme and our insistence which reformed the Community's finances."
"191","Britain has promoted co-operation on foreign policy and in combating terrorism."
"192","Britain has also persuaded our partners to welcome new countries who apply for Community membership."
"193","The Maastricht Treaty was a success both for Britain and for the rest of Europe."
"194","British proposals helped to shape the key provisions of the Treaty including those strengthening the enforcement of Community law defence, subsidiarity and law and order."
"195","But Britain refused to accept the damaging Social Chapter proposed by other Europeans, and it was excluded from the Maastricht treaty."
"196","All Member States must live up to their obligations under Community law."
"197","At Maastricht, we secured agreement that the European Court will be able to fine any Member State which fails to do so."
"198","We will work closely with our partners in foreign policy and in the war on international crime."
"199","We will continue to resist changes to the Treaty of Rome that would damage British business."
"200","We will resist Commission initiatives which run counter to the principle that issues should be dealt with on a national basis wherever possible."
"201","Britain is a great trading nation."
"202","We prosper through the maintenance of an open trading system."
"203","We will work for a successful outcome to the GATT negotiations."
"204","We will redouble our efforts to reform the Common Agricultural Policy and will stoutly defend the interests of British farmers and consumers."
"205","We will insist on more effective control over Community spending and will resist pressure to extend Community competence to new areas."
"206","We will work to strengthen the external frontiers of the Community whilst maintaining the checks needed at our own borders against illegal immigration, drugs, terrorism and disease."
"208","The British Presidency. In the second half of 1992 Britain will take the Chair of the Council of Ministers."
"209","The British Presidency comes at a turning point in the Community's history."
"210","It gives us the opportunity to shape the direction of the Community and to establish its priorities."
"211","We shall use it to promote our vision of an outward looking Community based on free enterprise."
"212","Our Presidency will reach its climax at the Edinburgh meeting of the European Council, which we will hold in the historic palace of Holyrood House."
"213","While the attention of Europe is focused on Edinburgh, the strength of our Union will be visible to all."
"214","Our priorities will be: To start negotiations with those EFTA countries who want to join the Community so that they can join by 1995."
"215","To build on the EC's Association Agreements with Czechoslovakia, Hungary and Poland so that we can welcome them to full membership by the year 2000."
"216","To conclude EC trade and co-operation agreements with the main republics of the former Soviet Union."
"217","To complete the single market and extend it to the seven countries of EFTA - Over half our trade is with the rest of the Community."
"218","The single market will create an open market of 350 million customers for British goods and services."
"219","To complete the single market we shall aim to: open up the market for life insurance to free competition"
"220","liberalise air travel to bring down air fares in Europe closer to those in America"
"221","free up the shipping and road transport markets so that British operators can carry freely within the EC"
"222","increase competition in the European energy sector."
"223","We will provide guidance and help to any British company encountering a trade barrier illegal under European law."
"224","We will press for progress on the environment, including the Fifth Environment Action Programme."
"225","We will chair the negotiations on the future spending priorities of the Community to ensure value for money."
"226","We will safeguard the abatement negotiated by Mrs Thatcher which has so far brought some £12,000 million in budget rebates to Britain."
"228","Wealth and Ownership. The 1990s present a great economic opportunity for Britain."
"229","We have got the scourge of inflation under control."
"230","We have cut direct tax rates."
"231","And a stable currency gives industry a chance to realise the potential released by the reforms of the 1980s."
"232","We have extended ownership more widely - of homes, savings and shares - with millions more sharing directly in Britain's success."
"233","We will promote enterprise through low taxes, sound money and a stable currency."
"234","When the Exchange Rate Mechanism was being created, during the final days of the last Labour Government, the then Prime Minister decided Britain could not take part."
"235","It was easy to see why the economy was too weak."
"236","Inflation was too high."
"237","In 1974-79, the inflation rate averaged over 15 per cent."
"238","It peaked at 27 per cent."
"239","Public borrowing rose to nearly 10 per cent of national income - equivalent to £55,000 million today."
"240","Penal taxes blunted enterprise."
"241","Britain was a byword for strikes."
"242","The Conservatives have changed all that."
"243","Since 1979, our inflation rate has averaged 7½ per cent."
"244","Now it is only just over 4 per cent - below the average for the European Community."
"245","In the 1960s and 1970s, Britain had the slowest growth rate in the European Community."
"246","But in the 1980s, we grew faster than either France or Germany."
"247","Industrial disputes became rare events."
"248","And in 1990, a Conservative Government joined the ERM."
"249","Penal taxes have been abolished."
