"","sentence_text_new"
"4","1997 Conservative Party General Election Manifesto. You can only be sure with the Conservatives. Foreword. The Conservative administrations elected since 1979 are among the most successful in British peacetime history."
"5","A country once the sick man of Europe has become its most successful economy."
"6","A country once brought to its knees by over-mighty trade unions now has industrial peace."
"7","Abroad, the cold war has been won"
"8","at home, the rule of law has been restored."
"9","The enterprising virtues of the British people have been liberated from the dead hand of the state."
"10","There can be no doubt that we have created a better Britain."
"11","Why, then, do we still need a Conservative Government?"
"12","Because resting on what we have achieved is not enough."
"13","To stand still is to fall back."
"14","Our goal must be for Britain to be the best place in the world to live."
"15","We live in a tougher, more uncertain world."
"16","A fast-moving global free market is emerging."
"17","New economic powers are rising in the East."
"18","Family life and social attitudes are changing."
"19","Europe is adjusting to the end of communism."
"20","The European social model is failing."
"21","The nation state is under threat."
"22","We must respond to these challenges."
"23","We have turned around our economic fortunes."
"24","We have fewer people out of work and more in work than any other major European economy."
"25","British people now have the opportunity of a prosperous future."
"26","But that prosperity cannot be taken for granted."
"27","We have to compete to win."
"28","That means a constant fight to keep tight control over public spending and enable Britain to remain the lowest taxed major economy in Europe."
"29","It means a continuing fight to keep burdens off business, maintaining our opt-out of the European Social Chapter."
"30","If we relax for one moment, our hard won success will slip away again."
"31","We have strengthened choice and personal ownership for families, and rolled back the state from areas where it was interfering unnecessarily in our lives."
"32","But we now have the opportunity to achieve a massive expansion in wealth and ownership so that more families can enjoy the self-respect and independence that comes with being self-sufficient from the state."
"33","Our far-reaching proposals for personal pension funds are central to achieving this - so too are our plans to increase support for the family in our tax system."
"34","Our aim is to spread opportunity for all to succeed, whoever they are and wherever they come from, provided they are prepared to work hard."
"35","To turn the have nots into the haves."
"36","To support the family in providing security and stability."
"37","We have modernised and reformed many of the areas where the state still has a vital role."
"38","But we now have to build on these reforms to deliver even better services."
"39","We must continue providing the resources to invest in our modernised health service."
"40","We can now provide parents with a hard-edged guarantee of standards in schools."
"41","We need also to widen choice in areas where state bureaucracy has constrained it."
"42","We have pioneered new ways of building partnerships that engage the private sector in areas previously dependent on the public purse."
"43","We now need to capture private sector investment on a massive scale to regenerate our cities, transform our crumbling local authority housing estates and modernise other public assets."
