"","sentence_text_new"
"2","Foreword by Gordon Brown. This General Election is fought as our troops are bravely fighting to defend the safety of the British people and the security of the world in Afghanistan."
"3","They bring great pride and credit to our country: we honour and will always support them."
"4","At the same time the world has been rocked by the first great crisis of the new global economic age."
"5","In Britain, the political crisis caused by expenses has undermined the bond of trust between the people and the politicians elected to serve them."
"6","So this cannot, and will not, be a 'business as usual' election or Manifesto."
"7","In this Manifesto we set out plans to address the main future challenges we face in our economy, our society and our politics."
"8","We will rebuild the economy to secure the recovery and invest in future growth and jobs."
"9","We will renew our society to further strengthen the communities that bind our country together."
"10","And we will restore trust in politics with greater transparency and accountability in a system battered by the expenses scandal."
"11","This programme for further national renewal meets the big challenges of the age."
"12","Our Manifesto is ambitious but affordable, bold but realistic, and learns from the lessons we take from our experience to date."
"13","Over the next ten years we will confront major challenges - intensive global competition, climate change, an ageing society, and bringing stability to Afghanistan."
"14","This is a moment for good judgement and serious purpose to meet the challenges ahead."
"15","Our aim is a modern, progressive Britain based on fairness, respect, decency and openness."
"16","This is a Manifesto about the greater progressive change we need because of the tougher times we are living through."
"17","There are no big new spending commitments, but there is a determination for every penny to be used wisely, and, as present plans make clear, to give the maximum protection to frontline public services."
"18","This is a moment to show greater boldness in response to what Britain has gone through and the toll it has taken."
"19","We reject a 'business as usual' mentality because we have to re-build and re-balance the economy, as well as renew our society and politics."
"20","Reform cannot stand still - not least because we need to get more value and delivery from public services in a period of public spending constraint."
"21","Our Manifesto charts an optimistic course in tougher economic times."
"22","It builds on and takes forward the reforms we have undertaken since 1997."
"23","I love Britain and want the very best for our country."
"24","This Manifesto is my pledge of a future fair for all."
"26","Introduction. The argument of this Manifesto is that to deliver a future fair for all we need to rebuild our economy, protect and reform our public services as we strengthen our society and renew our politics."
"27","We, Labour, are the people to carry out this next stage of national renewal because of our values and our understanding of the role of government: to stand by ordinary people so they can change their lives for the better."
"28","It is our belief that it is active, reforming government, not absent government, that helps make people powerful."
"29","We are proud of our country and the way it has changed since 1997."
"30","It is just too easy to forget."
"31","Our public services were a byword for decline"
"32","today they have been transformed."
"33","Our large cities were reeling from two savage recessions"
"34","today, despite the global economic crisis, they have a renewed prosperity and civic pride."
"35","People were paid £1 an hour"
"36","today the minimum wage and tax credits provide the dignity of a living income."
"37","The welfare state simply did not understand working women and families."
"38","Today, with family-friendly working and better childcare it has at last begun to do so."
"39","These changes happened because we applied our values to the world as it was then."
"40","We changed our party so that it connected to the hopes and aspirations of the British people."
"41","We changed our country because we rejected the philosophy of the 1980s which said that government should just get out of the way and that we were in it just for ourselves."
"42","We are proud of our record but today we are running for the future."
"43","We have to address a world that is very different now, with major new challenges we must confront: fighting for our economic future in a tough competitive world, tackling climate change, improving public services amidst financial constraint, confronting the reality of international terrorism, adjusting to an ageing society so people can live longer and happier lives, and restoring trust in politics."
"44","The global financial crisis shows we need to be bolder about reforming our financial markets and building our economic future on fairer, more solid foundations."
"45","To build on success in our public services, we need to protect investment in the front line and also be bold about putting citizens genuinely in control."
"46","And we must be bold reformers of our politics: seizing this once in a generation opportunity to make our Parliament properly accountable."
"47","In all these decisions, we offer progressive solutions in tough times."
"48","We do not measure the boldness of our programme by how much we spend but the results we achieve."
"49","By taking hard decisions, being guided at all times by a sense of fairness, we believe that we can continue to advance towards the good society in which we believe."
"50","There is a big choice at this election about whether we confront these challenges and build the kind of economy, society and politics we believe in, or duck them."
"51","But to be able to meet these future challenges, there are some immediate decisions we need to get right now."
"52","Above all, we need to secure the economic recovery."
"53","Get it right and we can go on to build a strong economic future."
"54","Get it wrong and we will slip back into recession."
"55","Labour believes we must not put the recovery at risk by reckless cuts to public spending this year."
"56","From the autumn of 2008, big calls had to be made."
"57","We nationalised Northern Rock, protected people's savings, cut VAT to stimulate our economy, put in place job guarantees to get people back to work, and stepped in to stop repossessions."
"58","It is working."
"59","The banking system has been stabilised."
"60","Our economy is showing signs of returning to growth."
"61","Unemployment has, so far, risen by over 500,000 less than people expected this time last year."
"62","Repossessions are at around half the level of the 1990s."
"63","The question at this election is whether people think the choice we made was the right one and whether we use the power of government to help sustain recovery, or allow it to be snuffed out."
"64","Every government of the major developed economies - of Left and Right - recognises the need to support the economy while growth is still fragile."
"65","We will not cut spending this year, but instead support the economy to ensure recovery is established."
"66","Labour believes we should rebuild our economy in new ways: with more high-tech business, fairer rewards and responsibility from all, including at the top."
"67","The world changed out of all recognition in 2007 with the onset of the global economic crisis."
"68","Major British banks, the custodians of our savings and livelihoods, ran out of money because of the recklessness of those in charge."
"69","This Manifesto makes the case that there should be no return to business as usual."
"70","People have suffered too much with their jobs, livelihoods and confidence to allow a return to the same old ways."
"71","There is a desire not simply to correct for what went wrong, but to seize the opportunity to build anew."
"72","Financial services have been an essential job creator in Britain and will continue to be so."
"73","But our financial institutions left to themselves have undermined our economy."
"74","We are enacting sweeping banking reform to prevent a repeat of the past"
"75","ensuring new support for the high-tech industries of the future, such as green industries"
"76","and taking action to forge a new culture of long-termism in business."
"77","It isn't markets or governments that create wealth - people do, through their own effort and hard work."
"78","So we will do more to support enterprise and to help those who want to build up a business and get on in life."
"79","Those who can work must do so and it needs to be properly valued."
"80","We will end for good the concept of a life on benefit by offering all those unemployed for more than two years work they must accept, and we will make work pay better with the goal of a minimum wage rising at least in line with average earnings and a guarantee that people will be better off in work than on benefit."
"81","As we more than halve the fiscal deficit over the next four years, we will ensure that we do so in a fair way with a combination of a return to economic growth, cuts to lower priority programmes and fair tax rises."
"82","Responsibility at the top means people paying their fair share and we believe it is right that those with the broadest shoulders bear the greatest burden of paying down the deficit."
"83","Labour believes we should protect frontline spending on childcare, schools, the NHS and policing, and reform our public services to put people in control."
"84","Millions of people working in our public services embody the best values of Britain, helping empower people to make the most of their own lives while protecting them from the risks they should not have to bear on their own."
"85","Just as we need to be bolder about the role of government in making markets work fairly, we also need to be bold reformers of government."
"86","For a decade we have combined investment and reform and improved our public services."
"87","Now we need to rise to the challenge of achieving even higher standards in a period of constrained resources."
"88","We will drive forward our programme to strip out all waste, improve efficiency and get the most out of every pound spent."
"89","We recognise that investing more in priority areas will mean cutting back in others."
"90","Above all we will build public services that are more personal to people's needs: with clear guarantees about standards, the best providers taking over others where they don't make the grade, and with new ways of organising services such as mutuals."
"91","In health, this means if we don't meet our guarantees, for example on waiting lists, the NHS will fund you to go private."
"92","In education it means that if the local school is underperforming it will be taken over"
"93","and parents who believe their school is not good enough can trigger a ballot to change the leadership."
"94","And in policing, where communities are being let down by forces we will enable them to be taken over by others."
"95","Labour will strengthen our society, by protecting the things people value and demanding rights and responsibilities from all."
"96","Our society is not broken"
"97","it is strong in many different ways."
"98","But it is changing fast."
"99","Changing with immigration, changing as people move more frequently, as young people grow up more quickly and older people live longer."
"100","We will protect the things people value: families, strong communities, local institutions."
"101","We will create a new settlement in our country on how we care for the elderly through the creation of a National Care Service, and fathers will have more time off to spend with their kids."
"102","There will be greater protection for the local institutions people value, like local post offices and pubs."
"103","In everything we do, we will demand the responsibilities that must come with rights: to work when you can, not to abuse your neighbour or neighbourhood, to show respect for Britain as a newcomer, to pay your fair share of tax."
"104","Labour proposes radical reform of our democracy to reconnect politics to the people it should serve."
"105","Just as the global economic crisis was a shock to our economic system"
"106","the expenses crisis created turmoil in our political system."
"107","It revealed not just unacceptable behaviour by some MPs but also that our closed political system had lost touch with people."
"108","Once again, the response cannot be to try and return to business as usual."
"109","We need fundamental reform of our politics to make it more accountable."
"110","We will let the people decide how to reform our institutions and our politics: changing the voting system and electing a second chamber to replace the House of Lords."
"111","But we will go further, introducing fixed-term parliaments, banning MPs from paid second jobs that pose a conflict of interest, and providing for a free vote in Parliament to widen the franchise to 16 and 17 year olds."
"112","In 1997 New Labour met the call of national renewal."
"113","In our politics and economy over the last 18 months, we have witnessed seismic events."
"114","In this election, the first of the post-crisis era, we stand as the people with the experience, values and ideas to help our country through the next phase of national renewal."
"115","This task has always relied on optimism."
"116","Our principal opponents, the Conservatives, offer a fundamentally pessimistic vision of national decline: about Britain today and in the future."
"117","Their only real prescription for the good society is a smaller state and the decisions they seek to make for our country would favour the privileged few over the many."
"118","They would isolate Britain, cutting us adrift from the alliances and influence that will enable us to succeed as a country."
"119","This is a Manifesto that is idealistic about what is possible but realistic about how to achieve it."
"120","This is not a conservative moment."
"121","It is a progressive moment."
"122","We speak for the ordinary people of this country who work hard, want their kids to do better than them, and worry about the economic, environmental and social challenges we face."
"123","We are on their side, it is their voice, needs and hopes that shape this programme."
"125","Securing Britain's future. The plans set out in this Manifesto take full account of the fiscal position we face."
"126","We will protect frontline public services while meeting our commitment to halve the deficit over the next four years."
"127","We are now emerging from the global financial crisis."
"128","It has had a lasting effect on tax receipts, here in the UK and across the world."
"129","We are sticking to our spending plans this year so that support for families and businesses remains as we secure the recovery."
"130","But from 2011-12, as growth takes hold, spending will be tighter."
"131","The Manifesto reflects the tough choices that we will make to secure Britain's future in a way that is fair to all:  Tough choices for £15 billion efficiency savings in 2010-11."
"132","Tough choices on cutting government overheads: £11 billion of further operational efficiencies and other cross-cutting savings to streamline government will be delivered by 2012-13."
"133","Tough choices on pay: action to control public-sector pay including a one per cent cap on basic pay uplifts for 2011-12 and 2012-13, saving £3.4 billion a year, and new restrictions on senior pay-setting."
"134","Tough decisions on public sector pensions to cap the taxpayers' liability - saving £1 billion a year."
"135","Tough choices on spending: £5 billion already identified in cuts to lower priority spending."
"136","Tough choices on welfare: our reforms will increase fairness and work incentives,including £1.5 billion of savings being delivered."
"137","Tough choices on assets: £20 billion of asset sales by 2020."
"138","Tough choices on tax: a bonus tax, reduced tax relief on pensions for the best off, a new 50p tax rate on earnings over £150,000 and one penny on National Insurance Contributions."
"141","Building the high-growth economy of the future. The challenge for Britain. To secure the recovery and learn the right lessons from the global economic crisis, laying the foundations for sustained growth: reforming banks, modernising infrastructure, and as we pay down the deficit, providing the right support to the private sector to build a diverse, high-tech industrial economy."
"142","The Tories would threaten recovery with cuts this year, and fail to invest in our economic future."
"144","The next stage of national renewal. Secure the recovery by supporting the economy now, and more than halve the deficit by 2014 through economic growth, fair taxes and cuts to lower priority spending."
"145","Realise our stakes in publicly controlled banks to secure the best deal for the taxpayer, introduce a new global levy, and reform the rules for banking to ensure no repeat of past irresponsibility."
"146","Create UK Finance for Growth, bringing £4 billion together to provide capital for growing businesses, investing in the growth sectors of the future."
"147","Build a high-tech economy, supporting business and industry to create one million more skilled jobs and modernising our infrastructure with High Speed Rail, a Green Investment Bank and broadband access for all."
"148","Encourage a culture of long-term commitment to sustainable company growth, requiring a super-majority of two-thirds of shareholders in corporate takeovers."
"149","As the economy steadily recovers, there will be no return to business as usual: financial institutions cannot continue the practices of the past."
"150","Radical change is needed."
"151","Without long-term investment in wealth-creating infrastructure and enterprise, accompanied by the diversification of our industrial base, Britain will not emerge from the recession ready for a stronger, fairer future."
"152","The engine of growth is private enterprise: we will give business our full support in creating wealth and jobs."
"153","Strong and sustained growth is fundamental to a credible strategy for keeping the public finances on a stable long-term footing."
"154","To be successful, business needs stability, but to achieve stability after the seismic shock of the global banking crisis, the governance of our economic and financial institutions must be radically reformed."
"155","And to support business in securing prosperity for future generations, an activist industrial strategy is needed: learning the lessons from those nations that have succeeded in developing advanced manufacturing and leading-edge service industries."
"156","In these countries the role of government is not to stand aside, but to nurture private-sector dynamism, properly supporting infrastructure and the sectors of the future."
"158","Securing the recovery. We have taken the tough decisions to get Britain through the downturn."
"159","We have done so with fairness in mind: we have not allowed the recession created by the financial crisis to become a depression, or stood aside and allowed grave damage to be inflicted on our society as it was in the 1930s and 1980s."
"160","The Tories argue that public spending should be cut immediately, but this position is out of step with every other G20 government, right or left."
"161","If governments do not provide support when families and businesses most need help, growth is set back, jobs are lost, and the country builds up more debts - paying a higher price in the future."
"162","To cut now would push the economy back into recession, not reducing the deficit but increasing it."
"163","We will continue to support the economy while growth is still fragile, sticking with our targeted increase in public spending over the next year to sustain the recovery."
"164","Our focus for the stimulus is strategic investment, putting in place the new digital, transport and energy infrastructures that will support the return to sustainable growth."
"166","Deficit reduction and fiscal sustainability. Once the recovery is secure, we will rapidly reduce the budget deficit."
"167","We have set out a clear, balanced and fair plan to more than halve the deficit over the next four years and we will stick to it."
"168","We will achieve this through a combination of: fair tax increases"
"169","a firm grip on public spending including cuts in lower-priority areas"
"170","and strategies for growth that increase tax revenues and reduce spending on benefits."
"171","Over the next Parliament the structural deficit will be cut by more than two-thirds."
"172","The huge global recession and our efforts to counter it have required us to make tough choices, including on tax."
"173","We have made our choice in ways that put the greatest burden on those with the broadest shoulders."
"174","Bankers have faced a bonus tax, tax relief on pensions for the best off will be reduced, and we have introduced a new 50p tax rate on earnings over £150,000."
"175","As part of our plan to ensure we protect frontline services while halving the deficit over four years, we have announced that National Insurance will rise by one penny."
"176","This will not happen until next year, once growth is firmly established."
"177","This is the fairest way to protect key frontline services."
"178","Our National Insurance changes will mean that no-one earning under £20,000, or any pensioners, will pay more."
"179","It is fairer than alternative options like VAT - which we have not increased since 1997."
"180","Our commitments allow us credibly to deliver our deficit reduction plan and to sustain the services that matter most to families."
"181","We will not raise the basic, higher and new top rates of tax in the next Parliament and we renew our pledge not to extend VAT to food, children's clothes, books, newspapers and public transport fares."
"182","We will maintain tax credits, not cut them."
