"","sentence_text_new"
"5","2001 Labour Party General Election Manifesto. Ambitions for Britain. Five pledges for the next five years. Economic pledge. 1 Mortgages as low as possible, low inflation and sound public finances."
"6","As we deliver economic stability not return the economy to Tory boom and bust."
"8","Schools pledge. 2 10,000 extra teachers and higher standards in secondary schools."
"9","As we invest in our schools not make reckless tax cuts."
"11","Health pledge. 3 20,000 extra nurses and 10,000 extra doctors in a reformed NHS."
"12","As we improve NHS care for all not push patients into paying for operations."
"14","Crime pledge. 4 6,000 extra recruits to raise police numbers to their highest ever level."
"15","As we tackle drugs and crime not cut police funding."
"17","Families pledge. 5 Pensioners' winter fuel payment retained, minimum wage rising to £4.20."
"18","As we help hard- working families not the privileged few."
"20","Built on five achievements since 1997. Typical mortgage £1,200 less than under the Tories, inflation lowest for '30 years."
"21","The best ever results in primary schools."
"22","17,000 extra nurses now in the NHS."
"23","Crime down ten per cent."
"24","One million more people in work and a new Children's Tax Credit."
"25","This manifesto contains the details of our plans for the future of Britain."
"26","If you would like to find out more about our policies, join the Labour Party or make a donation to Labour's election fund, please call 08705 900 200 or visit our website at www.labour.org.uk."
"28","Fulfilling Britain's great potential. This general election is in many ways even more important than the last."
"29","Since May 1997 we have laid the foundations of a Britain whose economy is stronger, where investment is now pouring into public services, where social division is being slowly healed and where influence abroad is being regained."
"30","But these are only the foundations of larger change."
"31","Now is the chance to build the future properly, to make the second term the basis for a radical programme of British renewal: to keep a firm grip on inflation, with low interest rates and the public finances sound, and then build the dynamic and productive economy of the future;"
"32","to keep investment coming into public services and then making the reforms so we use the money well;"
"33","to refashion the welfare state on the basis of rights and responsibilities, with people helped to help themselves, not just given handouts;"
"34","to ensure all families are safe in their communities by tackling crime and its causes;"
"35","and to give Britain back its leadership role in the world."
"36","We need the second term to do all this."
"37","That is the choice: to make progress or to dismantle the foundations laid."
"38","And with the state of today's Conservatives, the choice is stark."
"39","This choice will decide whether more people will be able to realise their aspirations for themselves and their children - to be able to rely on a stable economy where hard work is rewarded by rising living standards, to receive world-class education and healthcare, to enjoy a dignified old age, to feel safe and secure in a strong community, and to be proud to be British."
"40","Or whether we will be held back by the traditional British malaise of restricting life's great opportunities and blessings to a minority."
"41","There is much still to be done, but we have come a long way in four years."
"42","Britain stands more prosperous, more equal, more respected."
"43","Our country is on a new course."
"44","My passion is to continue the modernisation of Britain in favour of hard-working families, so that all our children, wherever they live, whatever their background, have an equal chance to benefit from the opportunities our country has to offer and to share in its wealth."
"46","The challenge for Britain. I am honoured to be Prime Minister."
"47","And I have a confident belief in our country."
"48","We are not boastful."
"49","But we have real strengths."
"50","Great people."
"51","Strong values."
"52","A proud history."
"53","The British people achieved magnificent things in the 20th century."
"54","But for too long, our strengths have been undermined by weaknesses of elitism and snobbery, vested interests and social division, complacency bred by harking back to the past."
"55","We achieved spurts of economic growth, but inflation would then get out of control."
"56","Our welfare state was founded to offer security, but its progress was stalled."
"57","We reached out to Europe, then drew back to become semi-detached."
"58","It is as if a glass ceiling has stopped us fulfilling our potential."
"59","In the 21st century, we have the opportunity to break through that glass ceiling, because our historic strengths match the demands of the modern world."
"60","We can use our openness and entrepreneurial flair to become a global centre in the knowledge economy."
"61","We can use our sense of fair play and mutual responsibility to be a strong, dynamic, multiracial society held together by strong values."
"62","We can use our historic and geographical position to link Europe and America, and help the developing world."
"63","The key to tapping our strengths, to breaking through this glass ceiling, is contained in a simple but hard-to-achieve idea, set out at the heart of our partyÕs constitution: the determination to put power, wealth and opportunity in the hands of the many, not the few."
"64","I know as well as anyone that we have just begun;"
"65","millions of hard-working families want, need and deserve more."
"66","That means more change in a second term, not less - to extend opportunity for all."
"67","We reject the quiet life."
"68","We must secure a mandate for change."
"70","Ten goals for 2010. Long-term economic stability."
"71","Rising living standards for all."
"72","Expanded higher education as we raise standards in secondary schools."
"73","A healthier nation with fast treatment, free at the point of use."
"74","Full employment in every region."
"75","Opportunity for all children, security for all pensioners."
"76","A modern criminal justice system."
"77","Strong and accountable local government."
"78","British ideas leading a reformed and enlarged Europe."
"79","Global poverty and climate change tackled."
"81","Shifting the odds for hard-working families. In 1997 we promised a start, not a revolution."
"82","We made five specific five-year pledges."
"83","Three have been completed early;"
"84","all will be completed within five years, as we promised."
"85","Each pledge is matched by further achievement: the lowest inflation and unemployment for a generation;"
"86","one million new jobs;"
"87","over 17,000 extra nurses, the best primary school test results ever and, as the British Crime Survey shows, crime is down by ten per cent."
"88","We also offered a ten-point contract to the British people."
"89","The results are at the back of this manifesto."
"90","Not everything has gone right - it never does."
"91","But we are getting there, easing burdens and extending opportunities, by choice not chance."
"92","Economic instability wrecks the lives of hard-working families. "
"93","So we chose to put the public finances right."
"94","It meant tough decisions that were opposed by the Conservatives."
"95","But today the economy is stable and growing, and interest rates are nearly half the level they averaged under the Conservatives."
"96","Unemployment steals dignity."
"97","So we chose to introduce a windfall tax on the excess profits of the privatised utilities and to use the money to help unemployed people back to work."
"98","That was opposed by the Conservatives, who are now pledged to abolish the New Deal."
"99","But today, youth unemployment is at its lowest level since 1975 and long-term unemployment at its lowest level since 1978."
"100","Poor education is a cruel injustice. "
"101","So we chose to introduce a new system for teaching the basics in primary schools."
"102","We met opposition, and the Conservatives want to roll back our programmes."
"103","But today, primary schools are achieving their best results ever."
"104","A run-down health service causes insecurity. "
"105","So we chose to reform the NHS, and inject new money."
"106","Waiting lists and times are now down and falling, and the number of nurses and doctors is now rising."
"107","Poverty denies basic rights. "
"108","So we chose to reform the welfare state to channel extra money to the poorest pensioners and poorest children."
"109","Today, single pensioners can look forward to a minimum income of £100 a week and pensioner couples £154, and over one million children have been taken out of poverty."
"110","The centralisation of power only helps the powerful. "
"111","So we chose to break the suffocating centralisation of British government."
"112","The UK has been strengthened."
"113","Today, it is the Conservatives who threaten the stability of the UK with their proposals for two classes of MP."
"114","Our Scottish and Welsh manifestos, alongside this one, set out our vision for continued partnership."
"115","Isolation from Europe does not help anyone. "
"116","So we chose to engage constructively in Europe, not to shout abuse from the sidelines."
"117","Today, Europe is moving in a direction that is good for Britain and good for Europe."
"118","In policy for aid, development and international debt relief, we have led the way."
"119","Of course, there are still big problems, but we are better off, better educated, better governed, better respected abroad."
"120","There has been another change too - a change of priorities and values."
"121","We learnt in the 1980s that looking after number one was not enough;"
"122","that without opportunity, responsibility was weak;"
"123","that an unfair society was a less prosperous one."
"124","The philosophy was wrong - it hurt millions of families and left our country with lasting problems."
"125","We have shown we are a reformed party, competent to govern."
"126","Now we offer more."
"127","More change, and more rewards for Britain's hard-working families: more prosperity, more opportunities, more security."
"129","Ambitions for Britain. Stretching the family budget, finding time for children as well as work, holding on to mutual respect, staying healthy when there can be danger even in the air we breathe."
"130","These are daily worries that people face."
"131","They are my concerns too."
"132","But, while there is always a market for people who say we are doomed, that all new ideas are bad ideas even as things improve, that we might as well curl up with our prejudices and shut the door on the world, I am an optimist."
"133","New Labour is ambitious for Britain's future and is ready to lead."
"134","First, we will sustain economic stability and build deeper prosperity that reaches every region of the country. "
"135","Skills, infrastructure, the technological revolution Ð all are vital to raise British living standards faster."
"136","We will put as much energy into helping the seven million adults without basic skills as we did when tackling long-term unemployment through the New Deal."
