"","sentence_text_new"
"4","ARE YOU THINKING WHAT WE'RE THINKING? IT'S TIME FOR ACTION. THE BRITISH DREAM. I BELIEVE that Britain could be doing so much better."
"5","Our country has everything going for it."
"6","Creative flair, world-beating companies, globally-respected universities, a tradition of tolerance, a love of freedom, a talent for enterprise, a concern for the underdog and the ability to pull together in a crisis."
"7","Britain is a great country."
"8","But today it is heading in the wrong direction."
"9","Far too many people are held back from achieving their full potential."
"10","A thousand everyday frustrations prevent the British people from living fulfilled lives."
"11","Conservatives know that governments don't have all the answers."
"12","But if they govern with the right values, they can make a real difference."
"13","Today, Britain is being governed with the wrong values."
"14","Instead of rewarding families who do the right thing, work hard and pay their taxes, Mr Blair's Government takes them for granted."
"15","And after eight years in power, all he offers is more talk."
"16","Meanwhile, people worry about infections they might catch in hospitals which are dirty when they should be clean."
"17","Parents worry about their children not learning to read and write properly in classrooms which are unruly, not disciplined."
"18","In too many communities it is responsible citizens, not criminals and yobs, who walk in fear."
"19","Our out-of-control immigration system encourages people smugglers and penalises genuine refugees."
"20","And all this has happened despite huge, stealthy increases in taxation."
"21","So long as this continues, the people of this country are deprived of the chance to be all they can be."
"22","They shouldn't have to settle for this."
"23","At this election there is a chance for us to be optimistic about our future again."
"24","People have been let down by a Government that has lost touch with them."
"25","On May 5th they can elect a Government that focuses on the things that matter."
"26","A Government that acts - and delivers results."
"27","A Government that does exactly what it says."
"28","We will be ambitious for our country - a Conservative Government will aspire to give everyone the chance to make the most of their lives."
"29","We will govern on behalf of the forgotten majority and their values, the people who make up the backbone of our country: people who work hard"
"30","save to buy their first home"
"31","take responsibility for their families."
"32","People who do the right thing should be rewarded, not punished."
"33","We will extend choice - a Conservative Government will give individuals more control over their own money and over the public services we all depend on."
"34","We will devolve power from the centre to our communities - a Conservative Government will trust professionals and enable parents and patients to shape services according to their needs."
"35","We will secure the foundations of a successful and decent society - a Conservative Government will tilt the balance of the justice system in favour of the victim, and will restore control of our borders."
"36","We will settle our relationship with the European Union by bringing powers back from Brussels to Britain."
"37","The British people should feel confident that they can get on with their lives while their Government concentrates on tackling the practical problems which matter to them."
"38","That is why a Conservative Government will be focused on cleaner hospitals, school discipline, more police, controlled immigration and lower taxes."
"39","I'm in politics to give something back to the country which gave so much to me."
"40","As the child of immigrants, as a state school pupil, as the first person in my family to go to university, I am driven by a profound sense of pride in Britain."
"41","For me the heart of politics is all about people - their hopes and aspirations."
"42","People want the freedom, security and opportunity to get on in life."
"43","They want the freedom to take the important decisions about their families and to keep more of the money they earn."
"44","They want the security that goes with owning your home, saving for your retirement, living in a safe neighbourhood."
"45","They want the opportunity provided by a good education and a thriving economy."
"46","And they expect fair play."
"47","I believe that to be treated equally is a birthright, and that discrimination is wrong."
"48","A Conservative Government will govern in the interests of everyone in our society - black or white, young or old, straight or gay, rural or urban, rich or poor."
"49","People are tired of politicians who talk and talk, but fail to deliver."
"50","They're tired of politicians saying one thing before an election and doing something else afterwards."
"51","So the next Conservative Government will not only make a difference: it will be different."
"52","Accountability will be our watchword."
"53","This manifesto sets out clearly our priorities for what we will do, how we will pay for it, and the values by which we will govern."
"54","People have had enough talk."
"55","It's time for action."
"57","Value for Money and Lower Taxes. A strong economy is the foundation for everything we do."
"58","It provides higher living standards so that people can look to the future with optimism."
"59","It creates the jobs we all depend on - enabling families to build their financial independence."
"60","It should guarantee our pensions in old age."
"61","It provides a safety net for the least fortunate."
"62","It is essential in tackling poverty, including child poverty."
"63","It pays for our public services - our children's education and our parents' healthcare."
"64","And it allows us to invest in our nation's security - defence, the police and border controls."
"65","Our economic success over generations has been built on the hard work, enterprise and creativity of the British people."
"66","Today, government is spending too much, wasting too much and taxing too much."
"67","Britain cannot continue indefinitely to spend more than she is earning without higher taxes or higher interest rates - either of which will harm our economic prospects."
"68","If we are to secure our future prosperity, government must once again start to live within its means."
"69","The consequences of Labour's profligacy are now plain to see."
"70","Last year, average living standards fell for the first time in over a decade - and the poorest 10 per cent of Britons became poorer."
"71","We need to change direction."
"72","The way in which a government allocates taxpayers' money demonstrates its values."
"73","By going to war on waste and ending ineffective public spending programmes, we will achieve three simple aims."
