"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"30004291","Labour therefore strongly supports the talks between the United States and Soviet governments aimed at reducing nuclear armaments.",,,,,"It would be the most significant step towards an eventual worldwide renunciation of, and ban upon, nuclear weapons. That is why we were the first to propose to the superpowers the zero option in respect of intermediate nuclear weapons.","Success in these efforts to negotiate the removal of all intermediate nuclear missiles in Europe would be warmly welcomed. It would mean the removal of America's Cruise missiles here in Britain and in the rest of Europe, as well as Pershing IIs in Germany and the Soviet SS20s and other shorter-range missiles.",,5,,,,
"30004351","This change would, of course, not affect the other US, British and joint defence and early warning systems in the United Kingdom.",,,,,"If, however, it should fail we shall, after consultation, inform the Americans that we wish them to remove their cruise missiles and other nuclear weapons from Britain. We would then become the ninth - of the sixteen NATO members - which do not have US nuclear weapons on their territory.","We will oppose the extension of the arms race into outer space and will seek an international agreement to abolish chemical weapons. The War We Must Fight. The world is aware, as never before, of the horrors of famine and poverty in many countries.",,5,,,,
"40000111","We live in a tougher, more uncertain world.",,,,,"To stand still is to fall back. Our goal must be for Britain to be the best place in the world to live.","A fast-moving global free market is emerging. New economic powers are rising in the East.",,5,,,,
"40009261","Our rivers, beaches and water are cleaner and we are using our energy more efficiently.",,,,,"We will publish a Green Paper on rabies protection, setting out all the options including the existing controls, early in the new parliament. Britain's Environment. Britain has an enviable track record in protecting our environment.","We are leading the world in reducing the level of the greenhouse gases that cause global warming and pressing for policies that will enable the world to sustain development without long-term damage to the environment. Our Green Manifesto is published separately.",,5,,,,
"40010681","It is that evolutionary process that we are committed to continue.",,,,,"Conservatives embrace evolutionary change that solves real problems and improves the way our constitution works. In recent years we have opened up government, devolved power and accountability, and introduced reforms to make parliament work more effectively.","Open, Accountable Government. In recent years we have taken significant steps to open up government to public scrutiny, and give individuals more information to hold government and public services to account. We have introduced a code on access to government information, policed by the Ombudsman.",,5,,,,
"50001411","Our priorities are to: Provide stability in economic management to encourage long-term investment.",,,,,"We will raise the quality of Britain's workforce through additional investment in education and training. As part of our strategy to build a sustainable economy, we will shift the burden of taxation from employment to the depletion of natural resources.","Raise the quality of Britain's workforce and get people back to work. Promote enterprise and small businesses.",,5,,,,
"50005851","We will urgently implement the North Report's recommendations for an independent commission to supervise parades and marches.",,,,,"Ensure respect for civil liberties. We will introduce an independent procedure for investigating complaints against the security forces, and reform the Diplock system so that three judges instead of one preside over non-jury trials.","Promote economic growth. We will strengthen the all-Ireland economy through the creation of effective cross-border agencies.",,5,,,,
"60004931","GPs and nurses will take the lead in combining together locally to plan local health services more efficiently for all the patients in their area.",,,,,"And a two-tier service has resulted. Labour will retain the lead role for primary care but remove the disadvantages that have come from the present system.","This will enable all GPs in an area to bring their combined strength to bear upon individual hospitals to secure higher standards of patient provision. In making this change, we will build on the existing collaborative schemes which already serve 14 million people.",,5,,,,
"60008961","London-wide responsibility for its own government is urgently required.",,,,,"Both will speak up for the needs of the city and plan its future. They will not duplicate the work of the boroughs, but take responsibility for London-wide issues - economic regeneration, planning, policing, transport and environmental protection.","We will make it happen. The regions of England. The Conservatives have created a tier of regional government in England through quangos and government regional offices.",,5,,,,
"10000521","This Government took the necessary steps to build up both.",,,,,"Founded in Strength. The ability to act internationally does not come without effort. It must be founded on a strong economy and a robust defence.","Success has followed. Prudent financial policies have made Britain one of the world's largest creditors.",,4,,,,
