"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"30004291","Labour therefore strongly supports the talks between the United States and Soviet governments aimed at reducing nuclear armaments.",,,,,"It would be the most significant step towards an eventual worldwide renunciation of, and ban upon, nuclear weapons. That is why we were the first to propose to the superpowers the zero option in respect of intermediate nuclear weapons.","Success in these efforts to negotiate the removal of all intermediate nuclear missiles in Europe would be warmly welcomed. It would mean the removal of America's Cruise missiles here in Britain and in the rest of Europe, as well as Pershing IIs in Germany and the Soviet SS20s and other shorter-range missiles.",,10,,,,
"30004351","This change would, of course, not affect the other US, British and joint defence and early warning systems in the United Kingdom.",,,,,"If, however, it should fail we shall, after consultation, inform the Americans that we wish them to remove their cruise missiles and other nuclear weapons from Britain. We would then become the ninth - of the sixteen NATO members - which do not have US nuclear weapons on their territory.","We will oppose the extension of the arms race into outer space and will seek an international agreement to abolish chemical weapons. The War We Must Fight. The world is aware, as never before, of the horrors of famine and poverty in many countries.",,10,,,,
"40000111","We live in a tougher, more uncertain world.",,,,,"To stand still is to fall back. Our goal must be for Britain to be the best place in the world to live.","A fast-moving global free market is emerging. New economic powers are rising in the East.",,10,,,,
"40009261","Our rivers, beaches and water are cleaner and we are using our energy more efficiently.",,,,,"We will publish a Green Paper on rabies protection, setting out all the options including the existing controls, early in the new parliament. Britain's Environment. Britain has an enviable track record in protecting our environment.","We are leading the world in reducing the level of the greenhouse gases that cause global warming and pressing for policies that will enable the world to sustain development without long-term damage to the environment. Our Green Manifesto is published separately.",,10,,,,
"40010681","It is that evolutionary process that we are committed to continue.",,,,,"Conservatives embrace evolutionary change that solves real problems and improves the way our constitution works. In recent years we have opened up government, devolved power and accountability, and introduced reforms to make parliament work more effectively.","Open, Accountable Government. In recent years we have taken significant steps to open up government to public scrutiny, and give individuals more information to hold government and public services to account. We have introduced a code on access to government information, policed by the Ombudsman.",,10,,,,
"50001411","Our priorities are to: Provide stability in economic management to encourage long-term investment.",,,,,"We will raise the quality of Britain's workforce through additional investment in education and training. As part of our strategy to build a sustainable economy, we will shift the burden of taxation from employment to the depletion of natural resources.","Raise the quality of Britain's workforce and get people back to work. Promote enterprise and small businesses.",,10,,,,
"50005851","We will urgently implement the North Report's recommendations for an independent commission to supervise parades and marches.",,,,,"Ensure respect for civil liberties. We will introduce an independent procedure for investigating complaints against the security forces, and reform the Diplock system so that three judges instead of one preside over non-jury trials.","Promote economic growth. We will strengthen the all-Ireland economy through the creation of effective cross-border agencies.",,10,,,,
"60004931","GPs and nurses will take the lead in combining together locally to plan local health services more efficiently for all the patients in their area.",,,,,"And a two-tier service has resulted. Labour will retain the lead role for primary care but remove the disadvantages that have come from the present system.","This will enable all GPs in an area to bring their combined strength to bear upon individual hospitals to secure higher standards of patient provision. In making this change, we will build on the existing collaborative schemes which already serve 14 million people.",,10,,,,
"60008961","London-wide responsibility for its own government is urgently required.",,,,,"Both will speak up for the needs of the city and plan its future. They will not duplicate the work of the boroughs, but take responsibility for London-wide issues - economic regeneration, planning, policing, transport and environmental protection.","We will make it happen. The regions of England. The Conservatives have created a tier of regional government in England through quangos and government regional offices.",,10,,,,
"10000001","1987 Conservative Party General Election Manifesto. The Next Moves Forward. FOREWORD. In the last eight years our country has changed - changed for the better.",,,,,"","We have discovered a new strength and a new pride. We have fostered a new spirit of enterprise.",,5,,,,
"10000011","We have discovered a new strength and a new pride.",,,,,"1987 Conservative Party General Election Manifesto. The Next Moves Forward. FOREWORD. In the last eight years our country has changed - changed for the better.","We have fostered a new spirit of enterprise. We have risen to fresh challenges at home and abroad.",,5,,,,
"10000021","We have fostered a new spirit of enterprise.",,,,,"1987 Conservative Party General Election Manifesto. The Next Moves Forward. FOREWORD. In the last eight years our country has changed - changed for the better. We have discovered a new strength and a new pride.","We have risen to fresh challenges at home and abroad. Once again our economy is strong.",,5,,,,
"10000041","Once again our economy is strong.",,,,,"We have fostered a new spirit of enterprise. We have risen to fresh challenges at home and abroad.","Our industries are flourishing. Unemployment is falling.",,5,,,,
"10000111","We trusted in the character and talents of our people.",,,,,"Our people have the protection of a stronger defence and more police. Britain has come right by her own efforts.","The British instinct is for choice and independence. Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions.",,5,,,,
"10000121","The British instinct is for choice and independence.",,,,,"Britain has come right by her own efforts. We trusted in the character and talents of our people.","Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions. Together we are building One Nation of free, prosperous and responsible families and people.",,5,,,,
"10000201","Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent?",,,,,"For the first time in a generation this country looks forward to an era of real prosperity and fulfilment. A vast change separates the Britain of today from the Britain of the late 1970s.","That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land? That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?",,5,,,,
"10000221","That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?",,,,,"Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent? That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?","And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure? It seems in retrospect to be the history of another country.",,5,,,,
"10000311","Britain today is in the seventh successive year of steady economic growth.",,,,,"Britain was heading for irreversible decline. Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed.","We have moved from the bottom to the top of the growth league of major European countries. In Britain today, inflation has reached its lowest levels for almost twenty years.",,5,,,,
"10000331","In Britain today, inflation has reached its lowest levels for almost twenty years.",,,,,"Britain today is in the seventh successive year of steady economic growth. We have moved from the bottom to the top of the growth league of major European countries.","In Britain today, the number of strikes has dropped to the lowest levels for 50 years. In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan.",,5,,,,
"10000341","In Britain today, the number of strikes has dropped to the lowest levels for 50 years.",,,,,"We have moved from the bottom to the top of the growth league of major European countries. In Britain today, inflation has reached its lowest levels for almost twenty years.","In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan. In Britain today, living standards are higher than ever before in our history.",,5,,,,
"10000351","In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan.",,,,,"In Britain today, inflation has reached its lowest levels for almost twenty years. In Britain today, the number of strikes has dropped to the lowest levels for 50 years.","In Britain today, living standards are higher than ever before in our history. But these are bald statistics.",,5,,,,
"10000381","What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best.",,,,,"In Britain today, living standards are higher than ever before in our history. But these are bald statistics.","Investment in British industry is rising strongly. Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.",,5,,,,
"10000401","Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.",,,,,"What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best. Investment in British industry is rising strongly.","And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again. The World Stage. This national revival is not confined to increased economic strength.",,5,,,,
"10000411","And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again.",,,,,"Investment in British industry is rising strongly. Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.","The World Stage. This national revival is not confined to increased economic strength. Britain is also playing a major part on the international stage.",,5,,,,
"10000461","We have defended civilised values by fighting terrorism relentlessly.",,,,,"From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs. With the Conservative Government, Britain has played a strong and responsible role internationally.","We have secured our national interests, as when we liberated the Falklands. We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people.",,5,,,,
"10000511","It must be founded on a strong economy and a robust defence.",,,,,"Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action. Founded in Strength. The ability to act internationally does not come without effort.","This Government took the necessary steps to build up both. Success has followed.",,5,,,,
"10000631","The new Conservative policies met bitter resistance every step of the way.",,,,,"we have also regained our national self-respect. But restoring a country's greatness is not easy.","Remember: The year-long coal strike, with its violence and intimidation on a massive scale. It failed and mining productivity has since soared.",,5,,,,
"10000661","The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.",,,,,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale. It failed and mining productivity has since soared.","We now get automatic rebates - this year, over £1.3 billion. The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound.",,5,,,,
"10000671","We now get automatic rebates - this year, over £1.3 billion.",,,,,"It failed and mining productivity has since soared. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.","The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound. Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity.",,5,,,,
"10000681","The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound.",,,,,"The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over £1.3 billion.","Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity. And let us not forget the challenge of the Falklands War.",,5,,,,
"10000721","Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike?",,,,,"And let us not forget the challenge of the Falklands War. How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties?","Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community? Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?",,5,,,,
"10000741","Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?",,,,,"Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike? Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?","A Strong and Stable Government. How has it been done? All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament.",,5,,,,
"10000831","to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence",,,,,"The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform. We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment","to give people greater choice and responsibility over their own lives in important areas such as housing and education to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community",,5,,,,
"10000841","to give people greater choice and responsibility over their own lives in important areas such as housing and education",,,,,"We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence","to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport",,5,,,,
"10000851","to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community",,,,,"to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence to give people greater choice and responsibility over their own lives in important areas such as housing and education","to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness.",,5,,,,
"10000861","to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport",,,,,"to give people greater choice and responsibility over their own lives in important areas such as housing and education to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community","to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness. We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country.",,5,,,,
"10000871","to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness.",,,,,"to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport","We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country. Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security.",,5,,,,
"10000891","Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security.",,,,,"to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness. We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country.","Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way. They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them.",,5,,,,
"10000921","Of course, it is not possible to give people independence.",,,,,"Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way. They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them.","That is something we must all achieve by our own efforts. But what this Conservative Government has done is to make it easier for people to acquire independence for themselves: by introducing the right to buy council houses",,5,,,,
"10000971","These opportunities - all too often introduced n the teeth of fierce resistance from the Opposition parties - have achieved spectacular results.",,,,,"by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership by making it easier to buy shares in British industry through employee share schemes and Personal Equity Plans.","There has been a surge of home-ownership, share-ownership and self-reliance. And because these first-time shareholders and home-owners are more independent, they develop a more independent outlook.",,5,,,,
"10001011","People want to decide such things for themselves.",,,,,"And because these first-time shareholders and home-owners are more independent, they develop a more independent outlook. They are no longer content that some of the most important decisions in their lives what school their children attend, for example, or whether or not to go on strike should be taken by officialdom or trade union bosses.","In this way the scope of individual responsibility is widened, the family is strengthened, and voluntary bodies flourish. State power is checked and opportunities are spread throughout society.",,5,,,,
"10001041","Ownership and independence cease to be the privileges of a few and become the birthright of all.",,,,,"In this way the scope of individual responsibility is widened, the family is strengthened, and voluntary bodies flourish. State power is checked and opportunities are spread throughout society.","In this way One Nation is finally reached not by a single people being conscripted into an organised socialist programme but by millions of people building their own lives in their own way. Better Housing for All. Home Ownership. Nowhere has the spread of ownership been more significant than in housing.",,5,,,,
"10001101","A home should be a source of pride and independence to the family living in it, regardless of whether it is owned or rented.",,,,,"It gives people a stake in society - something to conserve. It is the foundation stone of a capital-owning democracy.","We will ensure that every family in the land has the opportunity to make it so. Home-ownership has been the great success story of housing policy in the last eight years.",,5,,,,
"10001111","We will ensure that every family in the land has the opportunity to make it so.",,,,,"It is the foundation stone of a capital-owning democracy. A home should be a source of pride and independence to the family living in it, regardless of whether it is owned or rented.","Home-ownership has been the great success story of housing policy in the last eight years. One million council tenants have become home-owners and another one and a half million more families have become home-owners for the first time.",,5,,,,
"10001131","One million council tenants have become home-owners and another one and a half million more families have become home-owners for the first time.",,,,,"We will ensure that every family in the land has the opportunity to make it so. Home-ownership has been the great success story of housing policy in the last eight years.","Two out of every three homes are now owned by the people who live in them. This is a very high proportion, one of the largest in the world.",,5,,,,
"10001141","Two out of every three homes are now owned by the people who live in them.",,,,,"Home-ownership has been the great success story of housing policy in the last eight years. One million council tenants have become home-owners and another one and a half million more families have become home-owners for the first time.","This is a very high proportion, one of the largest in the world. We are determined to make it larger still.",,5,,,,
"10001171","Some people are still deterred by the costs and complications of house purchase.",,,,,"This is a very high proportion, one of the largest in the world. We are determined to make it larger still.","That is why we must look for new ways to make house-buying simpler and easier. Our abolition of the conveyancing monopoly has already made it cheaper.",,5,,,,
"10001201","We will keep the present system of mortgage tax relief.",,,,,"That is why we must look for new ways to make house-buying simpler and easier. Our abolition of the conveyancing monopoly has already made it cheaper.","We will target improvement grants to where they are most needed - to the least well-off. To meet the special needs of old people, we will ensure that all local authorities have powers to give improvement grants, where necessary, for properties where elderly people move in with relatives.",,5,,,,
"10001221","To meet the special needs of old people, we will ensure that all local authorities have powers to give improvement grants, where necessary, for properties where elderly people move in with relatives.",,,,,"We will keep the present system of mortgage tax relief. We will target improvement grants to where they are most needed - to the least well-off.","We will extend the 30 per cent housing association grant to help schemes for old people. A Right To Rent. Most problems in housing now arise in the rented sector.",,5,,,,
"10001231","We will extend the 30 per cent housing association grant to help schemes for old people.",,,,,"We will target improvement grants to where they are most needed - to the least well-off. To meet the special needs of old people, we will ensure that all local authorities have powers to give improvement grants, where necessary, for properties where elderly people move in with relatives.","A Right To Rent. Most problems in housing now arise in the rented sector. Controls, although well-meant, have dramatically reduced the private rented accommodation to a mere 8 per cent of the housing market.",,5,,,,
