_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,subsidy_scale,orig__golden,language,post_sentence,pre_sentence,screener,sentence_text,sentenceid,speechno,orig_subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason
603627756,11/26/2014 16:13:12,false,1483797131,,11/26/2014 16:12:23,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
603627756,11/26/2014 16:13:22,false,1483797321,,11/26/2014 16:12:29,false,clixsense,0.9091,30140975,BIH,01,Lukavac,5.149.82.119,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
603627756,11/26/2014 16:15:37,false,1483800575,,11/26/2014 16:12:43,false,neodev,0.8824,30473188,HRV,02,Slavonski Brod,93.143.188.0,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
603627757,11/26/2014 16:11:33,false,1483794806,,11/26/2014 16:10:46,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,1,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
603627757,11/26/2014 16:12:47,false,1483796548,,11/26/2014 16:10:49,false,neodev,0.9286,21856080,TWN,03,Taipei,220.136.72.13,0,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
603627757,11/26/2014 16:13:13,false,1483797153,,11/26/2014 16:10:53,false,neodev,1.0,30264023,SRB,00,Belgrade,109.121.7.239,0,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
603627758,11/26/2014 15:59:38,false,1483779623,,11/26/2014 15:58:54,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,,,
603627758,11/26/2014 16:02:08,false,1483782415,,11/26/2014 16:00:44,false,clixsense,0.9091,30140975,BIH,01,Lukavac,5.149.82.119,0,,EN,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,,,
603627758,11/26/2014 16:02:58,false,1483783557,,11/26/2014 16:00:11,false,neodev,0.8824,28375885,ESP,39,Torrelavega,92.57.58.253,0,,EN,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,,,
603627758,11/26/2014 16:05:51,false,1483787266,,11/26/2014 16:00:50,false,neodev,0.9167,21459435,GRC,35,Athens,178.59.92.156,0,,EN,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,,,
603627759,11/26/2014 16:16:36,false,1483802000,,11/26/2014 16:14:44,false,neodev,0.8462,29189983,ROU,18,Galati,5.13.146.59,1,,EN,"I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",FALSE,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",1004,1,,,
603627759,11/26/2014 16:18:41,false,1483805073,,11/26/2014 16:14:33,false,clixsense,0.9167,12752164,ROU,10,Bucharest,84.117.13.227,1,,EN,"I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",FALSE,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",1004,1,,,
603627759,11/26/2014 16:19:17,false,1483805932,,11/26/2014 16:18:02,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,"I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",FALSE,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",1004,1,,,
603627760,11/26/2014 16:16:36,false,1483801986,,11/26/2014 16:15:49,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",FALSE,"I wonder how the College of Commissioners picked the year, for example.",1005,1,,,
603627760,11/26/2014 16:16:53,false,1483802392,,11/26/2014 16:15:40,false,neodev,0.8235,30504276,CAN,ON,Sudbury,67.204.218.187,0,,EN,There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",FALSE,"I wonder how the College of Commissioners picked the year, for example.",1005,1,,,
603627760,11/26/2014 16:23:43,false,1483812377,,11/26/2014 16:20:53,false,clixsense,0.8,29335044,GBR,Q4,Bromsgrove,2.29.132.28,0,,EN,There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",FALSE,"I wonder how the College of Commissioners picked the year, for example.",1005,1,,,
603627761,11/26/2014 15:58:01,false,1483777831,,11/26/2014 15:56:59,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,"The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be. However, it may be that they have also not understood the content.","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.",FALSE,There is absolutely no mention of this in the impact assessment.,1006,1,,,
603627761,11/26/2014 16:00:08,false,1483780233,,11/26/2014 15:57:14,false,neodev,0.8824,28375885,ESP,39,Torrelavega,92.57.58.253,0,,EN,"The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be. However, it may be that they have also not understood the content.","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.",FALSE,There is absolutely no mention of this in the impact assessment.,1006,1,,,
603627761,11/26/2014 16:09:20,false,1483791765,,11/26/2014 16:07:55,false,clixsense,0.9091,30140975,BIH,01,Lukavac,5.149.82.119,0,,EN,"The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be. However, it may be that they have also not understood the content.","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.",FALSE,There is absolutely no mention of this in the impact assessment.,1006,1,,,
603627762,11/26/2014 16:05:22,false,1483786560,,11/26/2014 16:04:10,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,"However, it may be that they have also not understood the content. None of the arguments in favour of this proposal can be seriously considered because they are not correct.","I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.",FALSE,The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,1007,1,,,
603627762,11/26/2014 16:06:09,false,1483787635,,11/26/2014 16:04:28,false,clixsense,0.9091,30140975,BIH,01,Lukavac,5.149.82.119,0,,EN,"However, it may be that they have also not understood the content. None of the arguments in favour of this proposal can be seriously considered because they are not correct.","I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.",FALSE,The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,1007,1,,,
603627762,11/26/2014 16:06:43,false,1483788403,,11/26/2014 16:04:23,false,neodev,0.8824,30473188,HRV,02,Slavonski Brod,93.143.188.0,1,,EN,"However, it may be that they have also not understood the content. None of the arguments in favour of this proposal can be seriously considered because they are not correct.","I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.",FALSE,The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,1007,1,,,
603627763,11/26/2014 16:12:42,false,1483796452,,11/26/2014 16:10:53,false,neodev,0.8824,28375885,ESP,39,Torrelavega,92.57.58.253,0,,EN,"None of the arguments in favour of this proposal can be seriously considered because they are not correct. There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining.",There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,FALSE,"However, it may be that they have also not understood the content.",1008,1,,,
603627763,11/26/2014 16:12:58,false,1483796792,,11/26/2014 16:10:58,false,clixsense,1.0,21331660,IND,16,Wardha,182.73.3.78,0,,EN,"None of the arguments in favour of this proposal can be seriously considered because they are not correct. There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining.",There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,FALSE,"However, it may be that they have also not understood the content.",1008,1,,,
603627763,11/26/2014 16:16:41,false,1483802150,,11/26/2014 16:11:03,false,neodev,0.9091,30539148,VNM,78,Da Nang,117.3.102.122,0,,EN,"None of the arguments in favour of this proposal can be seriously considered because they are not correct. There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining.",There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,FALSE,"However, it may be that they have also not understood the content.",1008,1,,,
603627763,11/26/2014 16:19:57,false,1483806908,,11/26/2014 16:16:29,false,neodev,1.0,30264023,SRB,00,Belgrade,109.121.7.239,0,,EN,"None of the arguments in favour of this proposal can be seriously considered because they are not correct. There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining.",There is absolutely no mention of this in the impact assessment. The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be.,FALSE,"However, it may be that they have also not understood the content.",1008,1,,,
603627764,11/26/2014 16:12:21,false,1483795889,,11/26/2014 16:11:34,false,neodev,0.8125,25133850,UKR,07,Kharkov,93.77.74.221,0,,EN,"There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining. Of course, this is totally incorrect.","The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be. However, it may be that they have also not understood the content.",FALSE,None of the arguments in favour of this proposal can be seriously considered because they are not correct.,1009,1,,,
603627764,11/26/2014 16:14:32,false,1483798841,,11/26/2014 16:12:00,false,neodev,0.8462,29189983,ROU,18,Galati,5.13.146.59,0,,EN,"There is the argument that the State aid scheme adopted in 2002, which is about to expire, was a phasing out arrangement for coal mining. Of course, this is totally incorrect.","The only thing which might explain it is that 2014 is exactly halfway between 2010 and 2018. That is what it must be. However, it may be that they have also not understood the content.",FALSE,None of the arguments in favour of this proposal can be seriously considered because they are not correct.,1009,1,,,
