_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,subsidy_scale,orig__golden,language,post_sentence,pre_sentence,screener,sentence_text,sentenceid,speechno,orig_subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason
620361015,12/4/2014 18:55:15,false,1493946377,,12/4/2014 18:53:54,false,clixsense,0.7647,29352985,GRC,"","",46.198.121.244,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
620361015,12/4/2014 18:55:21,false,1493946411,,12/4/2014 18:53:43,false,neodev,1.0,12290437,IND,09,Ahmedabad,122.179.148.167,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
620361015,12/4/2014 18:55:40,false,1493946566,,12/4/2014 18:53:44,false,clixsense,1.0,30205806,PRT,17,Porto,188.83.85.12,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
620361015,12/4/2014 18:57:11,false,1493947379,,12/4/2014 18:53:49,false,clixsense,0.8462,30597534,CHL,12,Santiago,200.68.52.194,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
620361015,12/4/2014 19:10:33,false,1493954446,,12/4/2014 19:06:16,false,clixsense,0.8889,28603673,IND,07,Delhi,182.64.1.116,0,,EN,"The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",,FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,,,
620361016,12/4/2014 18:58:45,false,1493948168,,12/4/2014 18:57:39,false,neodev,0.9231,23548402,BIH,02,Banja Luka,79.143.165.20,0,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
620361016,12/4/2014 18:59:19,false,1493948460,,12/4/2014 18:57:37,false,clixsense,1.0,30205806,PRT,17,Porto,188.83.85.12,0,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
620361016,12/4/2014 19:00:00,false,1493948869,,12/4/2014 18:57:40,false,neodev,0.7333,11018419,SRB,"","",188.2.118.133,0,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
620361016,12/4/2014 19:02:21,false,1493950106,,12/4/2014 18:58:17,false,neodev,0.9167,29756512,MEX,09,Mexico,189.249.249.214,0,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
620361016,12/4/2014 19:08:40,false,1493953625,,12/4/2014 19:06:27,false,clixsense,0.8462,30597534,CHL,12,Santiago,200.68.52.194,1,,EN,"It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,The impact assessment that you have presented is very good.,1002,1,,,
620361017,12/4/2014 19:10:39,false,1493954523,,12/4/2014 19:09:32,false,neodev,0.9583,28840507,GBR,J7,Thirsk,86.165.46.248,0,,EN,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,,,
