"","X_unit_id","X_created_at","X_golden","X_id","X_missed","X_started_at","X_tainted","X_channel","X_trust","X_worker_id","X_country","X_region","X_city","X_ip","subsidy_scale","orig__golden","language","post_sentence","pre_sentence","screener","sentence_text","sentenceid","speechno","orig_subsidy_scale","subsidy_scale_gold","subsidy_scale_gold_reason"
"1",603627756,"11/26/2014 16:13:12","false",1483797131,"","11/26/2014 16:12:23","false","neodev",0.8125,25133850,"UKR","07","Kharkov","93.77.74.221",0,NA,"EN","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.","",FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,NA,NA,""
"2",603627756,"11/26/2014 16:13:22","false",1483797321,"","11/26/2014 16:12:29","false","clixsense",0.9091,30140975,"BIH","01","Lukavac","5.149.82.119",0,NA,"EN","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.","",FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,NA,NA,""
"3",603627756,"11/26/2014 16:15:37","false",1483800575,"","11/26/2014 16:12:43","false","neodev",0.8824,30473188,"HRV","02","Slavonski Brod","93.143.188.0",0,NA,"EN","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.","",FALSE,"Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",1001,1,NA,NA,""
"4",603627757,"11/26/2014 16:11:33","false",1483794806,"","11/26/2014 16:10:46","false","neodev",0.8125,25133850,"UKR","07","Kharkov","93.77.74.221",1,NA,"EN","It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,"The impact assessment that you have presented is very good.",1002,1,NA,NA,""
"5",603627757,"11/26/2014 16:12:47","false",1483796548,"","11/26/2014 16:10:49","false","neodev",0.9286,21856080,"TWN","03","Taipei","220.136.72.13",0,NA,"EN","It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,"The impact assessment that you have presented is very good.",1002,1,NA,NA,""
"6",603627757,"11/26/2014 16:13:13","false",1483797153,"","11/26/2014 16:10:53","false","neodev",1,30264023,"SRB","00","Belgrade","109.121.7.239",0,NA,"EN","It is based on facts, it is conclusive and it gets to the point. It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices.",FALSE,"The impact assessment that you have presented is very good.",1002,1,NA,NA,""
"7",603627758,"11/26/2014 15:59:38","false",1483779623,"","11/26/2014 15:58:54","false","neodev",0.8125,25133850,"UKR","07","Kharkov","93.77.74.221",0,NA,"EN","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,NA,NA,""
"8",603627758,"11/26/2014 16:02:08","false",1483782415,"","11/26/2014 16:00:44","false","clixsense",0.9091,30140975,"BIH","01","Lukavac","5.149.82.119",0,NA,"EN","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,NA,NA,""
"9",603627758,"11/26/2014 16:02:58","false",1483783557,"","11/26/2014 16:00:11","false","neodev",0.8824,28375885,"ESP","39","Torrelavega","92.57.58.253",0,NA,"EN","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,NA,NA,""
"10",603627758,"11/26/2014 16:05:51","false",1483787266,"","11/26/2014 16:00:50","false","neodev",0.9167,21459435,"GRC","35","Athens","178.59.92.156",0,NA,"EN","It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment. I wonder how the College of Commissioners picked the year, for example.","Madam President, Mr Almunia, ladies and gentlemen, firstly, I would like to congratulate you, Mr Almunia, and your offices. The impact assessment that you have presented is very good.",FALSE,"It is based on facts, it is conclusive and it gets to the point.",1003,1,NA,NA,""
"11",603627759,"11/26/2014 16:16:36","false",1483802000,"","11/26/2014 16:14:44","false","neodev",0.8462,29189983,"ROU","18","Galati","5.13.146.59",1,NA,"EN","I wonder how the College of Commissioners picked the year, for example. There is absolutely no mention of this in the impact assessment.","The impact assessment that you have presented is very good. It is based on facts, it is conclusive and it gets to the point.",FALSE,"It is a pity that the other members of the College of Commissioners have not read this impact assessment, because if they had read it, they would not have been able to present this proposal, which has nothing at all to do with the impact assessment.",1004,1,NA,NA,""
